trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	AA_Asp		numeric				agri_aa_oil
SITE_CV	AA_Thr		numeric				agri_aa_oil
SITE_CV	AA_Ser		numeric				agri_aa_oil
SITE_CV	AA_Glu		numeric				agri_aa_oil
SITE_CV	AA_Gly		numeric				agri_aa_oil
SITE_CV	AA_Ala		numeric				agri_aa_oil
SITE_CV	AA_Cys		numeric				agri_aa_oil
SITE_CV	AA_Val		numeric				agri_aa_oil
SITE_CV	AA_Met		numeric				agri_aa_oil
SITE_CV	AA_Ile		numeric				agri_aa_oil
SITE_CV	AA_Leu		numeric				agri_aa_oil
SITE_CV	AA_Tyr		numeric				agri_aa_oil
SITE_CV	AA_Phe		numeric				agri_aa_oil
SITE_CV	AA_Lys		numeric				agri_aa_oil
SITE_CV	AA_NH3		numeric				agri_aa_oil
SITE_CV	AA_His		numeric				agri_aa_oil
SITE_CV	AA_Arg		numeric				agri_aa_oil
SITE_CV	AA_Pro		numeric				agri_aa_oil
SITE_CV	AA_total		numeric				agri_aa_oil
SITE_CV	Plantheight		numeric				agri_aa_oil
SITE_CV	Earheight		numeric				agri_aa_oil
SITE_CV	Earleafwidth		numeric				agri_aa_oil
SITE_CV	Earleaflength		numeric				agri_aa_oil
SITE_CV	Tasselmainaxislength		numeric				agri_aa_oil
SITE_CV	Tasselbranchnumber		numeric				agri_aa_oil
SITE_CV	Leafnumberaboveear		numeric				agri_aa_oil
SITE_CV	Earlength		numeric				agri_aa_oil
SITE_CV	Eardiameter		numeric				agri_aa_oil
SITE_CV	Cobdiameter		numeric				agri_aa_oil
SITE_CV	Earrownumber		numeric				agri_aa_oil
SITE_CV	Kernernumberperrow		numeric				agri_aa_oil
SITE_CV	100grainweight		numeric				agri_aa_oil
SITE_CV	cobweight		numeric				agri_aa_oil
SITE_CV	kernellength		numeric				agri_aa_oil
SITE_CV	Kernelwidth		numeric				agri_aa_oil
SITE_CV	Kernelthickness		numeric				agri_aa_oil
SITE_CV	Silkingtime		numeric				agri_aa_oil
SITE_CV	Pollenshed		numeric				agri_aa_oil
SITE_CV	Headingdate		numeric				agri_aa_oil
SITE_CV	cobcolor		text				agri_aa_oil
SITE_CV	Oil_C16_0		numeric				agri_aa_oil
SITE_CV	Oil_C16_1		numeric				agri_aa_oil
SITE_CV	Oil_C18_0		numeric				agri_aa_oil
SITE_CV	Oil_C18_1		numeric				agri_aa_oil
SITE_CV	Oil_C18_2		numeric				agri_aa_oil
SITE_CV	Oil_C18_3		numeric				agri_aa_oil
SITE_CV	Oil_C20_0		numeric				agri_aa_oil
SITE_CV	Oil_C20_1		numeric				agri_aa_oil
SITE_CV	Oil_C22_0		numeric				agri_aa_oil
SITE_CV	Oil_C24_0		numeric				agri_aa_oil
SITE_CV	Oil_OIL		numeric				agri_aa_oil
SITE_CV	Oil_C16_0P		numeric				agri_aa_oil
SITE_CV	Oil_C16_1P		numeric				agri_aa_oil
SITE_CV	Oil_C18_0P		numeric				agri_aa_oil
SITE_CV	Oil_C18_1P		numeric				agri_aa_oil
SITE_CV	Oil_C18_2P		numeric				agri_aa_oil
SITE_CV	Oil_C18_3P		numeric				agri_aa_oil
SITE_CV	Oil_C20_0P		numeric				agri_aa_oil
SITE_CV	Oil_C20_1P		numeric				agri_aa_oil
SITE_CV	Oil_C22_0P		numeric				agri_aa_oil
SITE_CV	Oil_C24_0P		numeric				agri_aa_oil
SITE_CV	Oil_C160_C161		numeric				agri_aa_oil
SITE_CV	Oil_C160_C180		numeric				agri_aa_oil
SITE_CV	Oil_C180_C181		numeric				agri_aa_oil
SITE_CV	Oil_C181_C182		numeric				agri_aa_oil
SITE_CV	Oil_C182_C183		numeric				agri_aa_oil
SITE_CV	Oil_C180_C200		numeric				agri_aa_oil
SITE_CV	Oil_C200_C201		numeric				agri_aa_oil
SITE_CV	Oil_C200_C220		numeric				agri_aa_oil
SITE_CV	Oil_C220_C240		numeric				agri_aa_oil
SITE_CV	Oil_SFA_USFA		numeric				agri_aa_oil
