*dataset_name	stock_name	genus	species	sample_id	site_name	data_year	#AA_Asp	#AA_Thr	#AA_Ser	#AA_Glu	#AA_Gly	#AA_Ala	#AA_Cys	#AA_Val	#AA_Met	#AA_Ile	#AA_Leu	#AA_Tyr	#AA_Phe	#AA_Lys	#AA_NH3	#AA_His	#AA_Arg	#AA_Pro	#AA_total	#Plantheight	#Earheight	#Earleafwidth	#Earleaflength	#Tasselmainaxislength	#Tasselbranchnumber	#Leafnumberaboveear	#Earlength	#Eardiameter	#Cobdiameter	#Earrownumber	#Kernernumberperrow	#100grainweight	#cobweight	#kernellength	#Kernelwidth	#Kernelthickness	#Silkingtime	#Pollenshed	#Headingdate	#cobcolor	#Oil_C16_0	#Oil_C16_1	#Oil_C18_0	#Oil_C18_1	#Oil_C18_2	#Oil_C18_3	#Oil_C20_0	#Oil_C20_1	#Oil_C22_0	#Oil_C24_0	#Oil_OIL	#Oil_C16_0P	#Oil_C16_1P	#Oil_C18_0P	#Oil_C18_1P	#Oil_C18_2P	#Oil_C18_3P	#Oil_C20_0P	#Oil_C20_1P	#Oil_C22_0P	#Oil_C24_0P	#Oil_C160_C161	#Oil_C160_C180	#Oil_C180_C181	#Oil_C181_C182	#Oil_C182_C183	#Oil_C180_C200	#Oil_C200_C201	#Oil_C200_C220	#Oil_C220_C240	#Oil_SFA_USFA	stock_name_norm	sample_id_norm	source_book
AMP_agri_AA_Oil_traits	150	Zea	mays cultivar:B73	150			9.253920863	4.192230216	7.01176259	31.79147482	4.533201439	30.84985612	0.895953237	6.276007194	1.886848921	5.066007194	21.46395683	6.367877698	7.522661871	3.23918705	4.137877698	3.401284173	4.65057554	12.3723741	164.9130576	199.406862	84.09240313	8.415551016	62.57602963	26.18701812	7.008392031	5.446805873	13.16553466	3.814461974	2.333664854	15.09933923	24.01368699	18.66442693	18.73223124	8.7198173	6.948005094	4.41315604	69.5634	67.3508	64.3586	red	0.622661189	0.006435269	0.057835665	0.882748297	2.181709247	0.064649744	0.014255988	0.011531549	0.006259464	0.011995156	3.8606137	16.15064522	0.165950989	1.511045549	22.85962119	56.46549281	1.677917157	0.372910716	0.300176434	0.162368513	0.30912445	99.4579099	10.77156133	0.065772984	0.407569205	33.78320619	4.045967206	1.245310782	2.327658889	0.539183632	0.227731561	150	150	agri_aa_oil
AMP_agri_AA_Oil_traits	177	Zea	mays cultivar:B73	177			5.487304965	2.577819149	4.523900709	19.19595745	2.973411348	17.75315603	0.36085461	3.65035461	1.669851064	2.907503546	11.9187234	4.342695035	4.837234043	2.345180851	2.965407801	2.319429078	4.332163121	8.418085106	102.5790319	167.7376926	62.32666383	8.336793644	75.8468716	26.86362604	8.25953511	5.364463679	13.24180052	3.664731428	2.374789637	12.51456913	23.22662586	22.17517342	16.69770013	8.408500486	7.95607262	4.782931405	69.1351	67.5734	66.1437	red	0.664170594	0.005694992	0.081145505	1.02293041	2.380131694	0.05922965	0.027738336	0.018076423	0.011503452	0.018139087	4.290216332	15.48561995	0.136119801	1.911103004	24.12904019	55.17541913	1.373064007	0.638735397	0.413262477	0.265643383	0.42033182	112.2560365	8.178175996	0.078680852	0.437233043	40.23415526	3.053921979	1.525334424	2.375537042	0.63832463	0.231205722	177	177	agri_aa_oil
AMP_agri_AA_Oil_traits	238	Zea	mays cultivar:B73	238			7.040006916	3.351666667	5.794709544	23.37240664	4.004702628	22.3085408	0.657475795	4.91082296	2.054491701	3.712171508	14.08139696	4.838001383	5.184370678	2.908360996	3.618706777	2.629878976	4.33060166	9.498582296	124.2968949	195.1777397	65.90031644	9.38907964	78.97464118	27.64054122	9.749416145	5.498509112	13.84549223	3.708501624	2.483455763	14.09939167	23.3995741	21.94336045	17.4338478	8.836023115	8.18091486	4.777629966	74.5957	71.9141	69.8254	white	0.592099236	0.008167976	0.060832182	0.633361395	2.238826329	0.06680656	0.015527036	0.009069921	0.006808272	0.010594608	3.64253606	16.22996255	0.221999218	1.675663091	17.3982038	61.45647283	1.843976509	0.427901551	0.250926181	0.186573281	0.286031032	76.02361341	9.766923383	0.096338094	0.287919095	33.49455572	3.913137644	1.728860261	2.328520998	0.667306225	0.232193611	238	238	agri_aa_oil
AMP_agri_AA_Oil_traits	268	Zea	mays cultivar:B73	268			9.007857143	3.984319728	6.780748299	29.98581633	4.31744898	29.17013605	0.770493197	6.259557823	1.974445578	4.602721088	18.93472789	5.819795918	6.477108844	3.487993197	2.608187075	3.318751701	5.547517007	11.39690476	154.4445306	160.7956655	52.69387703	8.844888078	70.42957469	28.36394677	6.981059882	5.635426946	10.73827719	3.66728469	2.257745983	13.23905944	19.08355482	18.86634823	14.05614498	7.96232754	7.360464037	4.21965352	71.2765	68.909	65.6974	white	0.742248884	0.00632035	0.109995616	1.093834989	2.412279464	0.061948468	0.023124683	0.014212274	0.009099498	0.014036076	4.490531258	16.59100022	0.144646395	2.427179892	24.33388644	53.69982692	1.384953936	0.517360451	0.318918391	0.204821356	0.316415482	118.1194332	6.898968396	0.100366527	0.454572273	39.41696016	4.720677306	1.633946615	2.553247083	0.659877239	0.251948987	268	268	agri_aa_oil
AMP_agri_AA_Oil_traits	501	Zea	mays cultivar:B73	501			5.883852364	3.008535179	4.683910035	19.79910611	3.661188005	7.344377163	1.662941176	4.203777393	1.742145329	2.859852941	11.42776817	3.655219146	4.587312572	3.016435986	2.172984429	2.409965398	4.350403691	8.066349481	94.53612457	170.0178356	62.25478889	8.796211646	67.83068252	26.54872089	6.338754373	5.772344781	10.33143474	4.086384316	2.546535413	13.17491186	22.25759352	25.83110804	17.26231825	8.976617805	8.435537529	4.898237701	71.2765	69.7994	66.2553	red	0.623337726	0.006501891	0.064225589	1.017651999	1.755682388	0.054881883	0.021170783	0.016627236	0.009649634	0.016451833	3.585643662	17.36186531	0.17727407	1.782470792	28.28850584	49.02767797	1.524478942	0.585892637	0.4609573	0.267879913	0.455040178	99.9502468	9.933199202	0.063013466	0.578528024	32.25417691	3.036407008	1.279744414	2.192105539	0.593097391	0.258166169	501	501	agri_aa_oil
AMP_agri_AA_Oil_traits	647	Zea	mays cultivar:B73	647			12.11078534	5.446884817	9.806335079	42.0539267	5.717408377	16.40840314	0	7.96604712	3.358560209	6.097748691	25.54185864	7.928403141	9.86	4.545968586	4.010340314	3.711204188	7.436282723	15.26819372	187.2683508	143.4828657	68.96951963	6.518810979	65.55214977	25.94091108	17.84754152	4.351873538	6.875042739	2.557710224	1.446642167	13.09944412	16.79624763	11.7898896	4.497660526	7.049896693	5.128420873	3.82734704	72.24015	70.9124	66.7015	white	0.856300653	0.00795529	0.11429666	1.704752799	2.312436425	0.056881477	0.028498147	0.018900043	0.008888313	0.01173289	5.124430266	16.68449595	0.155869988	2.257706192	32.37863998	46.01203542	1.115544125	0.5609324	0.368033476	0.179079488	0.23569546	108.2344226	7.637759258	0.079124939	0.746954996	41.67467357	4.022538178	1.515153761	3.205415794	0.765968867	0.249550574	647	647	agri_aa_oil
AMP_agri_AA_Oil_traits	812	Zea	mays cultivar:B73	812			6.577393617	3.234289514	5.591299392	24.35710486	3.428955167	23.57412614	0.746128419	4.790843465	2.13856003	3.616960486	15.16147416	4.796656535	4.991223404	2.385805471	3.327298632	2.60375	3.917857143	9.622986322	124.8627128	164.7820379	57.3004972	8.435240359	71.97071207	27.00737492	7.468018378	4.760575326	11.73433366	3.678227239	2.319895255	11.94856108	21.14170296	22.99261918	11.90201965	9.029699474	8.541258052	4.649070072	68.7068	66.4604	65.6974	white	0.68968752	0.008539205	0.078930157	1.663847863	1.953652563	0.051914463	0.020998263	0.014927291	0.008688457	0.01345892	4.504595003	15.31087761	0.190412673	1.764584465	36.8601574	43.38388375	1.146725774	0.467050619	0.332011219	0.19323453299999999	0.299918062	81.57955409	8.713997828	0.049037753	0.854274123	38.15699778	3.77328356	1.423400679	2.430665253	0.65795329	0.221047084	812	812	agri_aa_oil
AMP_agri_AA_Oil_traits	1323	Zea	mays cultivar:B73	1323			8.810143098	4.037272727	7.043139731	31.81422559	4.534806397	11.46271044	2.271624579	5.582954545	2.586367845	4.305892256	18.48118687	5.674200337	6.42516835	3.298998316	2.396628788	3.68493266	5.483796296	12.24671717	140.140766	183.0386928	70.55827585	10.53762464	70.99257322	32.98852183	5.730474602	5.672768174	12.49229884	4.136537665	2.926687993	15.11820617	21.17811141	22.25630796	24.18210638	8.487405669	8.20176116	4.741845253	75.4523	73.5836	71.9452	white	0.676551173	0.008107325	0.097295071	1.029358154	2.896601576	0.050944994	0.017217213	0.012238578	0.006590969	0.011569785	4.809728079	14.10008319	0.168825768	2.020899454	21.40324484	60.21887263	1.057465818	0.360500218	0.25760466	0.140151785	0.242687468	84.83268873	7.053135724	0.094586082	0.359897605	57.63658992	5.641385823	1.405705132	2.649226905	0.581991767	0.203643822	1323	1323	agri_aa_oil
AMP_agri_AA_Oil_traits	1462	Zea	mays cultivar:B73	1462			6.081415094	2.898353774	5.117735849	21.79325472	3.412466981	20.26400943	0.39865283	4.225768868	2.233113208	3.467466981	13.84943396	5.613773585	5.498349057	2.657542453	3.492929245	2.561721698	4.806933962	9.55	117.9229217	211.1751917	88.14599481	9.699733717	84.89124385	34.74483117	11.73294927	6.547893356	17.13560948	4.340433828	2.470617348	14.91066988	32.87164817	25.7713247	22.36770487	10.3352216	8.295569512	4.448940753	70.9553	69.0203	68.0403	white	0.588241148	0.007180555	0.100932158	1.326171055	2.424798284	0.06063799	0.022569778	0.014208343	0.007931999	0.013736937	4.564832974	12.66671703	0.157513332	2.193337763	28.92869911	53.37204923	1.342241263	0.494189142	0.312462996	0.173562693	0.304002028	88.62491123	6.105499098	0.076328138	0.551344019	40.19490759	4.408813267	1.591184157	2.817547214	0.588311446	0.189206705	1462	1462	agri_aa_oil
AMP_agri_AA_Oil_traits	4019	Zea	mays cultivar:B73	4019			8.800890208	3.976965875	6.909124629	30.13022997	4.567284866	28.99395401	0.911765579	5.93245549	1.934180267	4.537203264	19.51057122	5.879265579	7.038464392	3.552459199	3.106224036	3.431884273	5.785979228	11.47032641	156.4692285	185.0797421	61.47476369	8.481182159	67.34616258	30.11428989	7.781501396	5.538722741	13.41742321	4.068693861	2.539092386	15.01632472	22.98568376	21.12896487	17.22658293	9.533258007	7.341106758	4.273993268	65.9229	64.0118	60.7885	red	0.602641935	0.006470165	0.059754903	0.930896497	2.22503797	0.057108835	0.013255767	0.010636737	0.006343111	0.012704577	3.924749749	15.36266634	0.163956724	1.530755773	23.63784879	56.73261876	1.45441121	0.341513554	0.273236038	0.16193048	0.322436347	95.63715598	10.20322983	0.064815014	0.421302488	39.14181239	4.485781681	1.255931223	2.157656707	0.5102595089999999	0.215903721	4019	4019	agri_aa_oil
