stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
150	cultivar		Zea	mays cultivar:B73					test-pedigree-150			AMP	150		agri_aa_oil
177	cultivar		Zea	mays cultivar:B73					test-pedigree-177			AMP	177		agri_aa_oil
238	cultivar		Zea	mays cultivar:B73					test-pedigree-238			AMP	238		agri_aa_oil
268	cultivar		Zea	mays cultivar:B73					test-pedigree-268			AMP	268		agri_aa_oil
501	cultivar		Zea	mays cultivar:B73					test-pedigree-501			AMP	501		agri_aa_oil
647	cultivar		Zea	mays cultivar:B73					test-pedigree-647			AMP	647		agri_aa_oil
812	cultivar		Zea	mays cultivar:B73					test-pedigree-812			AMP	812		agri_aa_oil
1323	cultivar		Zea	mays cultivar:B73					test-pedigree-1323			AMP	1323		agri_aa_oil
1462	cultivar		Zea	mays cultivar:B73					test-pedigree-1462			AMP	1462		agri_aa_oil
3411	cultivar		Zea	mays cultivar:B73					test-pedigree-3411			AMP	3411		agri_aa_oil
4019	cultivar		Zea	mays cultivar:B73					test-pedigree-4019			AMP	4019		agri_aa_oil
5213	cultivar		Zea	mays cultivar:B73					test-pedigree-5213			AMP	5213		agri_aa_oil
5237	cultivar		Zea	mays cultivar:B73					test-pedigree-5237			AMP	5237		agri_aa_oil
5311	cultivar		Zea	mays cultivar:B73					test-pedigree-5311			AMP	5311		agri_aa_oil
7327	cultivar		Zea	mays cultivar:B73					test-pedigree-7327			AMP	7327		agri_aa_oil
7381	cultivar		Zea	mays cultivar:B73					test-pedigree-7381			AMP	7381		agri_aa_oil
8902	cultivar		Zea	mays cultivar:B73					test-pedigree-8902			AMP	8902		agri_aa_oil
9642	cultivar		Zea	mays cultivar:B73					test-pedigree-9642			AMP	9642		agri_aa_oil
9782	cultivar		Zea	mays cultivar:B73					test-pedigree-9782			AMP	9782		agri_aa_oil
81162	cultivar		Zea	mays cultivar:B73					test-pedigree-81162			AMP	81162		agri_aa_oil
526018	cultivar		Zea	mays cultivar:B73					test-pedigree-526018			AMP	526018		agri_aa_oil
04K5672	cultivar		Zea	mays cultivar:B73					test-pedigree-04K5672			AMP	04K5672		agri_aa_oil
04K5686	cultivar		Zea	mays cultivar:B73					test-pedigree-04K5686			AMP	04K5686		agri_aa_oil
04K5702	cultivar		Zea	mays cultivar:B73					test-pedigree-04K5702			AMP	04K5702		agri_aa_oil
05W002	cultivar		Zea	mays cultivar:B73					test-pedigree-05W002			AMP	05W002		agri_aa_oil
05WN230	cultivar		Zea	mays cultivar:B73					test-pedigree-05WN230			AMP	05WN230		agri_aa_oil
07KS4	cultivar		Zea	mays cultivar:B73					test-pedigree-07KS4			AMP	07KS4		agri_aa_oil
18-599	cultivar		Zea	mays cultivar:B73					test-pedigree-18-599			AMP	18-599		agri_aa_oil
303WX	cultivar		Zea	mays cultivar:B73					test-pedigree-303WX			AMP	303WX		agri_aa_oil
384-2	cultivar		Zea	mays cultivar:B73					test-pedigree-384-2			AMP	384-2		agri_aa_oil
3H-2	cultivar		Zea	mays cultivar:B73					test-pedigree-3H-2			AMP	3H-2		agri_aa_oil
4F1	cultivar		Zea	mays cultivar:B73					test-pedigree-4F1			AMP	4F1		agri_aa_oil
7884-4HT	cultivar		Zea	mays cultivar:B73					test-pedigree-7884-4HT			AMP	7884-4HT		agri_aa_oil
835A	cultivar		Zea	mays cultivar:B73					test-pedigree-835A			AMP	835A		agri_aa_oil
835B	cultivar		Zea	mays cultivar:B73					test-pedigree-835B			AMP	835B		agri_aa_oil
975-12	cultivar		Zea	mays cultivar:B73					test-pedigree-975-12			AMP	975-12		agri_aa_oil
A619	cultivar		Zea	mays cultivar:B73					test-pedigree-A619			AMP	A619		agri_aa_oil
B11	cultivar		Zea	mays cultivar:B73					test-pedigree-B11			AMP	B11		agri_aa_oil
B110	cultivar		Zea	mays cultivar:B73					test-pedigree-B110			AMP	B110		agri_aa_oil
B111	cultivar		Zea	mays cultivar:B73					test-pedigree-B111			AMP	B111		agri_aa_oil
B113	cultivar		Zea	mays cultivar:B73					test-pedigree-B113			AMP	B113		agri_aa_oil
B114	cultivar		Zea	mays cultivar:B73					test-pedigree-B114			AMP	B114		agri_aa_oil
B151	cultivar		Zea	mays cultivar:B73					test-pedigree-B151			AMP	B151		agri_aa_oil
B73	cultivar		Zea	mays cultivar:B73					test-pedigree-B73			AMP	B73		agri_aa_oil
B77	cultivar		Zea	mays cultivar:B73					test-pedigree-B77			AMP	B77		agri_aa_oil
BEM	cultivar		Zea	mays cultivar:B73					test-pedigree-BEM			AMP	BEM		agri_aa_oil
BGY	cultivar		Zea	mays cultivar:B73					test-pedigree-BGY			AMP	BGY		agri_aa_oil
BS16	cultivar		Zea	mays cultivar:B73					test-pedigree-BS16			AMP	BS16		agri_aa_oil
BY4839	cultivar		Zea	mays cultivar:B73					test-pedigree-BY4839			AMP	BY4839		agri_aa_oil
BY4944	cultivar		Zea	mays cultivar:B73					test-pedigree-BY4944			AMP	BY4944		agri_aa_oil
BY4960	cultivar		Zea	mays cultivar:B73					test-pedigree-BY4960			AMP	BY4960		agri_aa_oil
BY804	cultivar		Zea	mays cultivar:B73					test-pedigree-BY804			AMP	BY804		agri_aa_oil
BY807	cultivar		Zea	mays cultivar:B73					test-pedigree-BY807			AMP	BY807		agri_aa_oil
BY809	cultivar		Zea	mays cultivar:B73					test-pedigree-BY809			AMP	BY809		agri_aa_oil
BY813	cultivar		Zea	mays cultivar:B73					test-pedigree-BY813			AMP	BY813		agri_aa_oil
BY815	cultivar		Zea	mays cultivar:B73					test-pedigree-BY815			AMP	BY815		agri_aa_oil
BY843	cultivar		Zea	mays cultivar:B73					test-pedigree-BY843			AMP	BY843		agri_aa_oil
BY855	cultivar		Zea	mays cultivar:B73					test-pedigree-BY855			AMP	BY855		agri_aa_oil
BZN	cultivar		Zea	mays cultivar:B73					test-pedigree-BZN			AMP	BZN		agri_aa_oil
C8605	cultivar		Zea	mays cultivar:B73					test-pedigree-C8605			AMP	C8605		agri_aa_oil
CA47	cultivar		Zea	mays cultivar:B73					test-pedigree-CA47			AMP	CA47		agri_aa_oil
CF3	cultivar		Zea	mays cultivar:B73					test-pedigree-CF3			AMP	CF3		agri_aa_oil
CHANG3	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG3			AMP	CHANG3		agri_aa_oil
CHANG7-2	cultivar		Zea	mays cultivar:B73					test-pedigree-CHANG7-2			AMP	CHANG7-2		agri_aa_oil
