trait_descriptor_set	*descriptor_name	Alias	*format	trait_name	data_unit	definition	source_book
SITE_CV	L_Tyrosine_E1		numeric				metabolite_183_known
SITE_CV	Vanillin_E1		numeric				metabolite_183_known
SITE_CV	N_Acetyl_L_glutamic_acid_E1		numeric				metabolite_183_known
SITE_CV	Lyratyl_acetate_E1		numeric				metabolite_183_known
SITE_CV	Ferulic_acid_derivative_E1		numeric				metabolite_183_known
SITE_CV	Pyridoxine_E1		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_16:1_1_E1		numeric				metabolite_183_known
SITE_CV	Glutamine_E1		numeric				metabolite_183_known
SITE_CV	N1.N10_Dicoumaroylspermidine_E1		numeric				metabolite_183_known
SITE_CV	N_Coumaroylspermidine_E1		numeric				metabolite_183_known
SITE_CV	L_Lysine_E1		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_16:0_1_E1		numeric				metabolite_183_known
SITE_CV	Adenosine_E1		numeric				metabolite_183_known
SITE_CV	L_Glutamic_acid_E1		numeric				metabolite_183_known
SITE_CV	Abscisic_acid_E1		numeric				metabolite_183_known
SITE_CV	L_Phenylalanine_E1		numeric				metabolite_183_known
SITE_CV	O_Acetyl_L_serine_E1		numeric				metabolite_183_known
SITE_CV	LPC1_acyl_18:2_2_E1		numeric				metabolite_183_known
SITE_CV	Np._Npp_Coumaroyl._Feruloylspermidine_E1		numeric				metabolite_183_known
SITE_CV	Choline_E1		numeric				metabolite_183_known
SITE_CV	L_Serine_E1		numeric				metabolite_183_known
SITE_CV	L_Valine_E1		numeric				metabolite_183_known
SITE_CV	L_Threonine_E1		numeric				metabolite_183_known
SITE_CV	Nicotinic_Acid_E1		numeric				metabolite_183_known
SITE_CV	Pyroglutamic_acid_E1		numeric				metabolite_183_known
SITE_CV	L_Pipecolate_E1		numeric				metabolite_183_known
SITE_CV	L_Aspartic_acid_E1		numeric				metabolite_183_known
SITE_CV	Phenylpyruvic_acid_E1		numeric				metabolite_183_known
SITE_CV	2.6_diformyl_4_methylphenol_E1		numeric				metabolite_183_known
SITE_CV	4_Coumaric_acid_E1		numeric				metabolite_183_known
SITE_CV	L_Arginine_E1		numeric				metabolite_183_known
SITE_CV	5_Hydroxyindoleacetic_acid_E1		numeric				metabolite_183_known
SITE_CV	3_2_Hydroxyethyl_4_methyl_1.2.3.4_pentanetetrol_E1		numeric				metabolite_183_known
