stock_name	*germplasm_type	alias	*genus	*species	maternal_parent	paternal_parent	mutation_parent	selfing_parent	pedigree	description	origin	comments	stock_name_norm	alias_norm	source_book
150	cultivar		Zea	mays cultivar:B73					test-pedigree-150			AMP	150		metabolite_183_known
177	cultivar		Zea	mays cultivar:B73					test-pedigree-177			AMP	177		metabolite_183_known
238	cultivar		Zea	mays cultivar:B73					test-pedigree-238			AMP	238		metabolite_183_known
268	cultivar		Zea	mays cultivar:B73					test-pedigree-268			AMP	268		metabolite_183_known
501	cultivar		Zea	mays cultivar:B73					test-pedigree-501			AMP	501		metabolite_183_known
647	cultivar		Zea	mays cultivar:B73					test-pedigree-647			AMP	647		metabolite_183_known
812	cultivar		Zea	mays cultivar:B73					test-pedigree-812			AMP	812		metabolite_183_known
1323	cultivar		Zea	mays cultivar:B73					test-pedigree-1323			AMP	1323		metabolite_183_known
1462	cultivar		Zea	mays cultivar:B73					test-pedigree-1462			AMP	1462		metabolite_183_known
3411	cultivar		Zea	mays cultivar:B73					test-pedigree-3411			AMP	3411		metabolite_183_known
4019	cultivar		Zea	mays cultivar:B73					test-pedigree-4019			AMP	4019		metabolite_183_known
5213	cultivar		Zea	mays cultivar:B73					test-pedigree-5213			AMP	5213		metabolite_183_known
5237	cultivar		Zea	mays cultivar:B73					test-pedigree-5237			AMP	5237		metabolite_183_known
5311	cultivar		Zea	mays cultivar:B73					test-pedigree-5311			AMP	5311		metabolite_183_known
7327	cultivar		Zea	mays cultivar:B73					test-pedigree-7327			AMP	7327		metabolite_183_known
7381	cultivar		Zea	mays cultivar:B73					test-pedigree-7381			AMP	7381		metabolite_183_known
8902	cultivar		Zea	mays cultivar:B73					test-pedigree-8902			AMP	8902		metabolite_183_known
9642	cultivar		Zea	mays cultivar:B73					test-pedigree-9642			AMP	9642		metabolite_183_known
9782	cultivar		Zea	mays cultivar:B73					test-pedigree-9782			AMP	9782		metabolite_183_known
81162	cultivar		Zea	mays cultivar:B73					test-pedigree-81162			AMP	81162		metabolite_183_known
526018	cultivar		Zea	mays cultivar:B73					test-pedigree-526018			AMP	526018		metabolite_183_known
