population_pca	population_structure	metabolite_stock	metabolite_phenotype_stock_name	metabolite_phenotype_sample_id	agri_stock	agri_phenotype_stock_name	agri_phenotype_sample_id	accession_id_norm	raw_ids	has_population	has_metabolite	has_agri_aa_oil	has_any_phenotype	strong_pair_population_phenotype
True	True	True	False	False	True	True	True	04K5672	04K5672	True	False	True	True	True
True	True	True	False	False	True	True	True	04K5686	04K5686	True	False	True	True	True
True	True	True	False	False	True	True	True	04K5702	04K5702	True	False	True	True	True
True	True	True	True	True	True	True	True	05W002	05W002	True	True	True	True	True
True	True	True	True	True	True	True	True	05WN230	05WN230	True	True	True	True	True
True	True	True	True	True	True	True	True	07KS4	07KS4	True	True	True	True	True
True	True	True	False	False	True	True	True	1323	1323	True	False	True	True	True
False	False	True	False	False	True	True	True	1462	1462	False	False	True	True	False
True	True	True	True	True	True	True	True	150	150	True	True	True	True	True
True	True	True	True	True	True	True	True	177	177	True	True	True	True	True
True	True	True	True	True	True	True	True	18-599	18-599	True	True	True	True	True
True	True	True	True	True	True	True	True	238	238	True	True	True	True	True
True	True	True	True	True	True	True	True	268	268	True	True	True	True	True
True	True	True	True	True	True	True	True	303WX	303WX	True	True	True	True	True
False	False	True	False	False	True	False	False	3411	3411	False	False	False	False	False
True	True	False	False	False	False	False	False	3411X	3411X	True	False	False	False	False
True	True	True	False	False	True	True	True	384-2	384-2	True	False	True	True	True
False	False	True	False	False	True	False	False	3H-2	3H-2	False	False	False	False	False
True	True	False	False	False	False	False	False	3H-2X	3H-2X	True	False	False	False	False
False	False	True	True	True	True	True	True	4019	4019	False	True	True	True	False
True	True	True	True	True	True	True	True	4F1	4F1	True	True	True	True	True
True	True	True	False	False	True	True	True	501	501	True	False	True	True	True
False	False	True	True	True	True	False	False	5213	5213	False	True	False	True	False
True	True	True	True	True	True	True	True	5237	5237	True	True	True	True	True
True	True	True	True	True	True	True	True	526018	526018	True	True	True	True	True
True	True	True	False	False	True	True	True	5311	5311	True	False	True	True	True
True	True	True	True	True	True	True	True	647	647	True	True	True	True	True
True	True	True	True	True	True	True	True	7327	7327	True	True	True	True	True
False	False	True	True	True	True	True	True	7381	7381	False	True	True	True	False
True	True	True	True	True	True	True	True	7884-4HT	7884-4HT	True	True	True	True	True
True	True	True	True	True	True	True	True	81162	81162	True	True	True	True	True
True	True	True	False	False	True	True	True	812	812	True	False	True	True	True
True	True	False	False	False	False	False	False	832	832	True	False	False	False	False
False	False	True	True	True	True	False	False	835A	835A	False	True	False	True	False
True	True	True	True	True	True	True	True	835B	835B	True	True	True	True	True
True	True	True	True	True	True	True	True	8902	8902	True	True	True	True	True
True	True	True	True	True	True	True	True	9642	9642	True	True	True	True	True
True	True	True	True	True	True	True	True	975-12	975-12	True	True	True	True	True
True	True	True	False	False	True	True	True	9782	9782	True	False	True	True	True
True	True	True	False	False	True	True	True	A619	A619	True	False	True	True	True
True	True	True	True	True	True	True	True	B11	B11	True	True	True	True	True
True	True	True	True	True	True	True	True	B110	B110	True	True	True	True	True
True	True	True	True	True	True	True	True	B111	B111	True	True	True	True	True
True	True	True	False	False	True	True	True	B113	B113	True	False	True	True	True
True	True	True	True	True	True	True	True	B114	B114	True	True	True	True	True
True	True	True	True	True	True	True	True	B151	B151	True	True	True	True	True
True	True	True	True	True	True	True	True	B73	B73	True	True	True	True	True
True	True	True	True	True	True	True	True	B77	B77	True	True	True	True	True
True	True	True	False	False	True	True	True	BEM	BEM	True	False	True	True	True
True	True	True	False	False	True	True	True	BGY	BGY	True	False	True	True	True
True	True	False	False	False	False	False	False	BK	BK	True	False	False	False	False
True	True	True	True	True	True	True	True	BS16	BS16	True	True	True	True	True
True	True	False	False	False	False	False	False	BT1	BT1	True	False	False	False	False
True	True	True	True	True	True	True	True	BY4839	BY4839	True	True	True	True	True
True	True	True	True	True	True	True	True	BY4944	BY4944	True	True	True	True	True
True	True	True	True	True	True	True	True	BY4960	BY4960	True	True	True	True	True
True	True	True	True	True	True	True	True	BY804	BY804	True	True	True	True	True
True	True	True	True	True	True	True	True	BY807	BY807	True	True	True	True	True
True	True	True	True	True	True	True	True	BY809	BY809	True	True	True	True	True
True	True	True	True	True	True	True	True	BY813	BY813	True	True	True	True	True
True	True	True	True	True	True	True	True	BY815	BY815	True	True	True	True	True
True	True	True	False	False	True	True	True	BY843	BY843	True	False	True	True	True
True	True	True	True	True	True	True	True	BY855	BY855	True	True	True	True	True
True	True	True	True	True	True	True	True	BZN	BZN	True	True	True	True	True
True	True	True	False	False	True	True	True	C8605	C8605	True	False	True	True	True
False	False	True	True	True	True	False	False	CA47	CA47	False	True	False	True	False
True	True	True	False	False	True	True	True	CF3	CF3	True	False	True	True	True
True	True	True	True	True	True	True	True	CHANG3	CHANG3	True	True	True	True	True
True	True	True	False	False	True	True	True	CHANG7-2	CHANG7-2	True	False	True	True	True
True	True	True	True	True	True	True	True	CHENG698	CHENG698	True	True	True	True	True
True	True	True	True	True	True	True	True	CHUAN48-2	CHUAN48-2	True	True	True	True	True
True	True	True	True	True	True	True	True	CI7	CI7	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL1	CIMBL1	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL10	CIMBL10	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL100	CIMBL100	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL101	CIMBL101	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL102	CIMBL102	True	True	True	True	True
False	False	True	False	False	True	False	False	CIMBL103	CIMBL103	False	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL104	CIMBL104	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL105	CIMBL105	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL106	CIMBL106	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL107	CIMBL107	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL108	CIMBL108	True	True	True	True	True
False	False	True	True	True	True	True	True	CIMBL109	CIMBL109	False	True	True	True	False
True	True	True	True	True	True	True	True	CIMBL11	CIMBL11	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL110	CIMBL110	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL111	CIMBL111	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL112	CIMBL112	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL113	CIMBL113	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL114	CIMBL114	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL115	CIMBL115	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL116	CIMBL116	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL117	CIMBL117	True	False	True	True	True
True	True	True	False	False	True	True	True	CIMBL118	CIMBL118	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL119	CIMBL119	True	True	True	True	True
False	False	True	True	True	True	False	False	CIMBL12	CIMBL12	False	True	False	True	False
True	True	True	True	True	True	True	True	CIMBL120	CIMBL120	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL121	CIMBL121	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL122	CIMBL122	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL123	CIMBL123	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL124	CIMBL124	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL125	CIMBL125	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL126	CIMBL126	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL127	CIMBL127	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL128	CIMBL128	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL129	CIMBL129	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL13	CIMBL13	True	True	True	True	True
True	True	False	False	False	False	False	False	CIMBL130	CIMBL130	True	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL131	CIMBL131	True	False	False	False	False
True	True	False	False	False	False	False	False	CIMBL132	CIMBL132	True	False	False	False	False
True	True	True	True	True	True	True	True	CIMBL133	CIMBL133	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL134	CIMBL134	True	False	True	True	True
True	True	False	False	False	False	False	False	CIMBL135	CIMBL135	True	False	False	False	False
True	True	True	False	False	True	True	True	CIMBL136	CIMBL136	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL137	CIMBL137	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL138	CIMBL138	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL139	CIMBL139	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL14	CIMBL14	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL140	CIMBL140	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL141	CIMBL141	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL142	CIMBL142	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL143	CIMBL143	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL144	CIMBL144	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL145	CIMBL145	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL146	CIMBL146	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL147	CIMBL147	True	True	True	True	True
True	True	True	False	False	True	True	True	CIMBL148	CIMBL148	True	False	True	True	True
True	True	True	True	True	True	True	True	CIMBL149	CIMBL149	True	True	True	True	True
True	True	True	True	True	True	True	True	CIMBL15	CIMBL15	True	True	True	True	True
