source_file	matrix_gene_id_column	sample_column	sample_column_norm	inferred_line	inferred_line_norm	tissue_or_stage	sample_role	accession_panel_sample	notes
zmap_expression_ref_b73_exp.tsv	geneID	B73_6-7_internode	B73_6-7_INTERNODE	B73	B73	6-7_internode	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_7-8_internode	B73_7-8_INTERNODE	B73	B73	7-8_internode	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Vegetative_Meristem_16-19_Day	B73_VEGETATIVE_MERISTEM_16-19_DAY	B73	B73	Vegetative_Meristem_16-19_Day	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Ear_Primordium_2-4_mm	B73_EAR_PRIMORDIUM_2-4_MM	B73	B73	Ear_Primordium_2-4_mm	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Ear_Primordium_6-8_mm	B73_EAR_PRIMORDIUM_6-8_MM	B73	B73	Ear_Primordium_6-8_mm	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Embryo_20_DAP	B73_EMBRYO_20_DAP	B73	B73	Embryo_20_DAP	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Embryo_38_DAP	B73_EMBRYO_38_DAP	B73	B73	Embryo_38_DAP	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Endosperm_12_DAP	B73_ENDOSPERM_12_DAP	B73	B73	Endosperm_12_DAP	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Endosperm_Crown_27_DAP	B73_ENDOSPERM_CROWN_27_DAP	B73	B73	Endosperm_Crown_27_DAP	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Germinatin_Kernels_2_DAI	B73_GERMINATIN_KERNELS_2_DAI	B73	B73	Germinatin_Kernels_2_DAI	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Pericarp_Aleurone_27_DAP	B73_PERICARP_ALEURONE_27_DAP	B73	B73	Pericarp_Aleurone_27_DAP	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Leaf_Zone_1_Symmetrical	B73_LEAF_ZONE_1_SYMMETRICAL	B73	B73	Leaf_Zone_1_Symmetrical	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Leaf_Zone_2_Stomatal	B73_LEAF_ZONE_2_STOMATAL	B73	B73	Leaf_Zone_2_Stomatal	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Leaf_Zone_3_Growth	B73_LEAF_ZONE_3_GROWTH	B73	B73	Leaf_Zone_3_Growth	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Mature_Leaf_8	B73_MATURE_LEAF_8	B73	B73	Mature_Leaf_8	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Primary_Root_5_Days	B73_PRIMARY_ROOT_5_DAYS	B73	B73	Primary_Root_5_Days	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Root_Cortex_5_Days	B73_ROOT_CORTEX_5_DAYS	B73	B73	Root_Cortex_5_Days	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Root_Elongation_Zone_5_Days	B73_ROOT_ELONGATION_ZONE_5_DAYS	B73	B73	Root_Elongation_Zone_5_Days	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Root_Meristem_Zone_5_Days	B73_ROOT_MERISTEM_ZONE_5_DAYS	B73	B73	Root_Meristem_Zone_5_Days	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Secondary_Root_7-8_Days	B73_SECONDARY_ROOT_7-8_DAYS	B73	B73	Secondary_Root_7-8_Days	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Mature_Pollen	B73_MATURE_POLLEN	B73	B73	Mature_Pollen	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Female_Spikelet_Collected_on_day_as_silk	B73_FEMALE_SPIKELET_COLLECTED_ON_DAY_AS_SILK	B73	B73	Female_Spikelet_Collected_on_day_as_silk	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_b73_exp.tsv	geneID	B73_Silk	B73_SILK	B73	B73	Silk	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_15_DAP_Kernel	SK_15_DAP_KERNEL	SK	SK	15_DAP_Kernel	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Immature_Ear	SK_IMMATURE_EAR	SK	SK	Immature_Ear	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Internode	SK_INTERNODE	SK	SK	Internode	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Leaf	SK_LEAF	SK	SK	Leaf	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Mature_pollen	SK_MATURE_POLLEN	SK	SK	Mature_pollen	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Primary_root	SK_PRIMARY_ROOT	SK	SK	Primary_root	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_SAM	SK_SAM	SK	SK	SAM	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Silk	SK_SILK	SK	SK	Silk	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
zmap_expression_ref_sk_exp.tsv	GeneID	SK_Tassel	SK_TASSEL	SK	SK	Tassel	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_endosperm	HZS_ENDOSPERM	HZS	HZS	endosperm	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_embryo	HZS_EMBRYO	HZS	HZS	embryo	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
HZS_genes.fmt_FPKM.results	gene_id	HZS_stem and SAM	HZS_STEMANDSAM	HZS	HZS	stem and SAM	reference_tissue_expression	False	Column is a reference line plus tissue/stage label, not an AMP accession sample.
