accession_id_norm	in_vcf	in_accession_index	has_population	has_metabolite	has_agri_aa_oil	strong_pair_population_phenotype	strong_pair_genotype_population_phenotype
04K5672	True	True	True	False	True	True	True
04K5686	True	True	True	False	True	True	True
04K5702	True	True	True	False	True	True	True
05W002	True	True	True	True	True	True	True
05WN230	True	True	True	True	True	True	True
07KS4	True	True	True	True	True	True	True
1323	True	True	True	False	True	True	True
1462	False	True	False	False	True	False	False
150	True	True	True	True	True	True	True
177	True	True	True	True	True	True	True
18-599	True	True	True	True	True	True	True
238	True	True	True	True	True	True	True
268	True	True	True	True	True	True	True
303WX	True	True	True	True	True	True	True
3411	False	True	False	False	False	False	False
3411X	True	True	True	False	False	False	False
384-2	True	True	True	False	True	True	True
3H-2	False	True	False	False	False	False	False
3H-2X	True	True	True	False	False	False	False
4019	False	True	False	True	True	False	False
4F1	True	True	True	True	True	True	True
501	True	True	True	False	True	True	True
5213	False	True	False	True	False	False	False
5237	True	True	True	True	True	True	True
526018	True	True	True	True	True	True	True
5311	True	True	True	False	True	True	True
647	True	True	True	True	True	True	True
7327	True	True	True	True	True	True	True
7381	False	True	False	True	True	False	False
7884-4HT	True	True	True	True	True	True	True
81162	True	True	True	True	True	True	True
812	True	True	True	False	True	True	True
832	True	True	True	False	False	False	False
835A	False	True	False	True	False	False	False
835B	True	True	True	True	True	True	True
8902	True	True	True	True	True	True	True
9642	True	True	True	True	True	True	True
975-12	True	True	True	True	True	True	True
9782	True	True	True	False	True	True	True
A619	True	True	True	False	True	True	True
B11	True	True	True	True	True	True	True
B110	True	True	True	True	True	True	True
B111	True	True	True	True	True	True	True
B113	True	True	True	False	True	True	True
B114	True	True	True	True	True	True	True
B151	True	True	True	True	True	True	True
B73	True	True	True	True	True	True	True
B77	True	True	True	True	True	True	True
BEM	True	True	True	False	True	True	True
BGY	True	True	True	False	True	True	True
BK	True	True	True	False	False	False	False
BS16	True	True	True	True	True	True	True
BT1	True	True	True	False	False	False	False
BY4839	True	True	True	True	True	True	True
BY4944	True	True	True	True	True	True	True
BY4960	True	True	True	True	True	True	True
BY804	True	True	True	True	True	True	True
BY807	True	True	True	True	True	True	True
BY809	True	True	True	True	True	True	True
BY813	True	True	True	True	True	True	True
BY815	True	True	True	True	True	True	True
BY843	True	True	True	False	True	True	True
BY855	True	True	True	True	True	True	True
BZN	True	True	True	True	True	True	True
C8605	True	True	True	False	True	True	True
CA47	False	True	False	True	False	False	False
CF3	True	True	True	False	True	True	True
CHANG3	True	True	True	True	True	True	True
CHANG7-2	True	True	True	False	True	True	True
CHENG698	True	True	True	True	True	True	True
CHUAN48-2	True	True	True	True	True	True	True
CI7	True	True	True	True	True	True	True
CIMBL1	True	True	True	True	True	True	True
CIMBL10	True	True	True	True	True	True	True
CIMBL100	True	True	True	True	True	True	True
CIMBL101	True	True	True	True	True	True	True
CIMBL102	True	True	True	True	True	True	True
CIMBL103	False	True	False	False	False	False	False
CIMBL104	True	True	True	False	False	False	False
CIMBL105	True	True	True	True	True	True	True
CIMBL106	True	True	True	True	True	True	True
CIMBL107	True	True	True	False	True	True	True
CIMBL108	True	True	True	True	True	True	True
CIMBL109	False	True	False	True	True	False	False
CIMBL11	True	True	True	True	True	True	True
CIMBL110	True	True	True	False	True	True	True
CIMBL111	True	True	True	True	True	True	True
CIMBL112	True	True	True	False	True	True	True
CIMBL113	True	True	True	True	True	True	True
CIMBL114	True	True	True	True	True	True	True
CIMBL115	True	True	True	True	True	True	True
CIMBL116	True	True	True	True	True	True	True
CIMBL117	True	True	True	False	True	True	True
CIMBL118	True	True	True	False	True	True	True
CIMBL119	True	True	True	True	True	True	True
CIMBL12	False	True	False	True	False	False	False
CIMBL120	True	True	True	True	True	True	True
CIMBL121	True	True	True	True	True	True	True
CIMBL122	True	True	True	True	True	True	True
CIMBL123	True	True	True	True	True	True	True
CIMBL124	True	True	True	True	True	True	True
CIMBL125	True	True	True	True	True	True	True
CIMBL126	True	True	True	False	True	True	True
CIMBL127	True	True	True	True	True	True	True
CIMBL128	True	True	True	False	True	True	True
CIMBL129	True	True	True	True	True	True	True
CIMBL13	True	True	True	True	True	True	True
CIMBL130	True	True	True	False	False	False	False
CIMBL131	True	True	True	False	False	False	False
CIMBL132	True	True	True	False	False	False	False
CIMBL133	True	True	True	True	True	True	True
CIMBL134	True	True	True	False	True	True	True
CIMBL135	True	True	True	False	False	False	False
CIMBL136	True	True	True	False	True	True	True
CIMBL137	True	True	True	True	True	True	True
CIMBL138	True	True	True	False	True	True	True
CIMBL139	True	True	True	True	True	True	True
CIMBL14	True	True	True	False	True	True	True
CIMBL140	True	True	True	True	True	True	True
CIMBL141	True	True	True	True	True	True	True
CIMBL142	True	True	True	True	True	True	True
CIMBL143	True	True	True	True	True	True	True
CIMBL144	True	True	True	True	True	True	True
CIMBL145	True	True	True	True	True	True	True
CIMBL146	True	True	True	False	True	True	True
CIMBL147	True	True	True	True	True	True	True
CIMBL148	True	True	True	False	True	True	True
CIMBL149	True	True	True	True	True	True	True
CIMBL15	True	True	True	True	True	True	True
CIMBL150	True	True	True	True	True	True	True
CIMBL151	True	True	True	True	True	True	True
CIMBL152	True	True	True	True	True	True	True
CIMBL153	True	True	True	True	True	True	True
CIMBL154	True	True	True	False	True	True	True
CIMBL155	True	True	True	False	True	True	True
CIMBL156	True	True	True	True	True	True	True
CIMBL157	True	True	True	True	True	True	True
CIMBL16	True	True	True	True	True	True	True
CIMBL17	True	True	True	True	True	True	True
CIMBL18	True	True	True	True	True	True	True
CIMBL19	True	True	True	True	True	True	True
CIMBL2	True	True	True	True	True	True	True
CIMBL20	True	True	True	False	True	True	True
CIMBL21	True	True	True	True	True	True	True
CIMBL22	True	True	True	True	True	True	True
CIMBL23	True	True	True	True	True	True	True
CIMBL24	False	True	False	False	True	False	False
CIMBL25	True	True	True	True	True	True	True
CIMBL26	True	True	True	False	True	True	True
CIMBL27	True	True	True	True	True	True	True
CIMBL28	True	True	True	True	True	True	True
CIMBL29	False	True	False	True	True	False	False
CIMBL3	True	True	True	True	True	True	True
CIMBL30	True	True	True	False	True	True	True
CIMBL31	True	True	True	False	True	True	True
CIMBL32	True	True	True	True	True	True	True
CIMBL33	True	True	True	False	True	True	True
CIMBL34	True	True	True	False	True	True	True
CIMBL35	True	True	True	False	False	False	False
CIMBL36	True	True	True	False	False	False	False
CIMBL37	True	True	True	False	False	False	False
CIMBL38	True	True	True	True	True	True	True
CIMBL39	False	True	False	False	False	False	False
CIMBL39X	True	True	True	False	False	False	False
CIMBL4	True	True	True	True	True	True	True
CIMBL40	True	True	True	True	True	True	True
CIMBL41	True	True	True	False	False	False	False
CIMBL42	True	True	True	True	True	True	True
CIMBL43	True	True	True	True	True	True	True
CIMBL44	True	True	True	False	True	True	True
CIMBL45	False	True	False	False	False	False	False
CIMBL45X	True	True	True	False	False	False	False
CIMBL46	True	True	True	True	True	True	True
CIMBL47	True	True	True	True	True	True	True
CIMBL48	True	True	True	True	True	True	True
CIMBL49	True	True	True	True	True	True	True
CIMBL5	True	True	True	True	True	True	True
CIMBL50	True	True	True	True	True	True	True
CIMBL51	True	True	True	True	True	True	True
CIMBL52	True	True	True	True	True	True	True
CIMBL53	True	True	True	True	True	True	True
CIMBL54	True	True	True	True	True	True	True
CIMBL55	False	True	False	True	False	False	False
CIMBL56	True	True	True	True	True	True	True
CIMBL57	True	True	True	False	True	True	True
CIMBL58	True	True	True	True	True	True	True
CIMBL59	True	True	True	True	True	True	True
CIMBL6	True	True	True	True	True	True	True
CIMBL60	True	True	True	True	True	True	True
CIMBL61	False	True	False	False	False	False	False
CIMBL61X	True	True	True	False	False	False	False
CIMBL62	True	True	True	True	True	True	True
CIMBL63	True	True	True	True	True	True	True
CIMBL65	True	True	True	False	True	True	True
CIMBL66	True	True	True	False	True	True	True
CIMBL67	True	True	True	False	True	True	True
CIMBL68	True	True	True	True	True	True	True
CIMBL69	True	True	True	True	True	True	True
CIMBL7	True	True	True	True	True	True	True
CIMBL70	True	True	True	True	True	True	True
CIMBL71	True	True	True	True	True	True	True
CIMBL72	True	True	True	False	True	True	True
CIMBL73	False	True	False	False	False	False	False
CIMBL73X	True	True	True	False	False	False	False
CIMBL74	True	True	True	True	True	True	True
CIMBL75	True	True	True	True	True	True	True
CIMBL76	True	True	True	False	True	True	True
CIMBL77	True	True	True	True	True	True	True
CIMBL78	True	True	True	False	True	True	True
CIMBL79	True	True	True	True	True	True	True
CIMBL8	True	True	True	False	True	True	True
CIMBL80	False	True	False	False	False	False	False
CIMBL80X	True	True	True	False	False	False	False
CIMBL81	True	True	True	True	True	True	True
CIMBL82	True	True	True	True	True	True	True
CIMBL83	True	True	True	True	True	True	True
CIMBL84	True	True	True	True	True	True	True
CIMBL85	False	True	False	False	False	False	False
CIMBL85X	True	True	True	False	False	False	False
CIMBL86	True	True	True	True	True	True	True
CIMBL87	False	True	False	True	False	False	False
CIMBL87X	True	True	True	False	False	False	False
CIMBL88	True	True	True	True	True	True	True
CIMBL89	True	True	True	True	True	True	True
CIMBL9	True	True	True	True	True	True	True
CIMBL90	True	True	True	False	True	True	True
CIMBL91	True	True	True	True	True	True	True
CIMBL92	True	True	True	True	True	True	True
CIMBL93	True	True	True	True	True	True	True
CIMBL94	True	True	True	True	True	True	True
CIMBL95	True	True	True	True	True	True	True
CIMBL96	True	True	True	True	True	True	True
CIMBL97	True	True	True	False	True	True	True
CIMBL98	True	True	True	True	True	True	True
CIMBL99	True	True	True	True	True	True	True
CML113	True	True	True	False	True	True	True
CML114	True	True	True	True	True	True	True
CML115	True	True	True	True	False	True	True
CML115X	True	True	True	False	False	False	False
CML116	False	True	False	True	False	False	False
CML118	True	True	True	True	True	True	True
CML121	True	True	True	True	True	True	True
CML122	True	True	True	True	True	True	True
CML130	True	True	True	True	True	True	True
CML134	True	True	True	True	True	True	True
CML139	True	True	True	True	True	True	True
CML162	True	True	True	True	True	True	True
CML163	True	True	True	True	True	True	True
CML165	True	True	True	True	True	True	True
CML166	False	True	False	False	False	False	False
CML168	True	True	True	False	True	True	True
CML169	True	True	True	True	True	True	True
CML170	True	True	True	True	True	True	True
CML171	True	True	True	True	True	True	True
CML172	True	True	True	True	True	True	True
CML189	True	True	True	True	True	True	True
CML191	True	True	True	True	True	True	True
CML192	True	True	True	True	True	True	True
CML20	True	True	True	True	True	True	True
CML223	True	True	True	False	True	True	True
CML225	True	True	True	False	True	True	True
CML226	True	True	True	False	True	True	True
CML228	True	True	True	False	True	True	True
CML229	True	True	True	False	False	False	False
CML26	False	False	False	False	False	False	False
CML27	True	True	True	False	True	True	True
CML28	True	True	True	False	True	True	True
CML282	True	True	True	False	False	False	False
CML285	True	True	True	False	False	False	False
CML286	False	True	False	False	False	False	False
CML286X	True	True	True	False	False	False	False
CML287	False	True	False	False	False	False	False
CML287X	True	True	True	False	False	False	False
CML289	True	True	True	False	False	False	False
CML29	True	True	True	False	False	False	False
CML290	True	True	True	True	True	True	True
CML298	True	True	True	False	True	True	True
CML300	True	True	True	False	True	True	True
CML304	False	True	False	True	True	False	False
CML305	True	True	True	False	True	True	True
CML307	True	True	True	False	True	True	True
CML31	True	True	True	True	True	True	True
CML32	True	True	True	True	True	True	True
CML323	True	True	True	True	True	True	True
CML324	True	True	True	True	True	True	True
CML325	True	True	True	True	True	True	True
CML326	False	True	False	False	False	False	False
CML326X	True	True	True	False	False	False	False
CML327	True	True	True	True	True	True	True
CML338	True	True	True	True	True	True	True
CML360	True	True	True	True	True	True	True
CML361	True	True	True	True	True	True	True
CML364	True	True	True	False	True	True	True
CML40	True	True	True	False	False	False	False
CML408	True	True	True	False	True	True	True
CML411	True	True	True	True	True	True	True
CML412	False	True	False	False	True	False	False
CML415	True	True	True	True	True	True	True
CML422	True	True	True	True	True	True	True
CML423	True	True	True	True	True	True	True
CML426	True	True	True	True	True	True	True
CML428	True	True	True	False	True	True	True
CML430	False	True	False	False	False	False	False
CML431	True	True	True	True	True	True	True
CML432	True	True	True	True	True	True	True
CML433	False	True	False	True	True	False	False
CML451	True	True	True	False	True	True	True
CML454	True	True	True	True	True	True	True
CML465	True	True	True	False	True	True	True
CML468	True	True	True	False	False	False	False
CML470	True	True	True	True	True	True	True
CML471	True	True	True	False	True	True	True
CML473	False	True	False	False	True	False	False
CML474	False	True	False	False	False	False	False
CML479	True	True	True	False	True	True	True
CML480	True	True	True	True	True	True	True
CML486	True	True	True	True	True	True	True
CML493	True	True	True	True	True	True	True
CML496	True	True	True	True	True	True	True
CML497	True	True	True	False	True	True	True
CML50	True	True	True	True	True	True	True
CML51	True	True	True	False	True	True	True
CML69	True	True	True	True	True	True	True
CY72	True	True	True	False	False	False	False
D047	True	True	True	False	True	True	True
D863F	True	True	True	True	True	True	True
DAN3130	True	True	True	True	True	True	True
DAN340	True	True	True	True	True	True	True
DAN360	True	True	True	True	True	True	True
DAN4245	True	True	True	True	True	True	True
DAN598	True	True	True	False	True	True	True
DAN599	True	True	True	True	True	True	True
DAN9046	True	True	True	False	False	False	False
DE	False	True	True	False	False	False	False
DE.EX	True	True	False	False	True	False	False
DH29	True	True	True	False	True	True	True
DH3732	True	True	True	True	True	True	True
DONG237	True	True	True	True	True	True	True
DONG46	True	True	True	True	True	True	True
DSB	True	True	True	False	True	True	True
E28	True	True	True	False	False	False	False
EN25	True	True	True	True	True	True	True
ES40	True	True	True	True	True	True	True
FCD0602	True	True	True	True	True	True	True
GEMS1	True	True	True	True	True	True	True
GEMS10	True	True	True	True	True	True	True
GEMS11	True	True	True	True	True	True	True
GEMS12	True	True	True	False	True	True	True
GEMS13	True	True	True	False	True	True	True
GEMS14	True	True	True	True	True	True	True
GEMS15	True	True	True	True	True	True	True
GEMS16	True	True	True	True	True	True	True
GEMS17	True	True	True	True	True	True	True
GEMS18	True	True	True	False	True	True	True
GEMS19	True	True	True	False	True	True	True
GEMS2	True	True	True	True	True	True	True
GEMS20	True	True	True	True	True	True	True
GEMS21	True	True	True	True	True	True	True
GEMS23	True	True	True	True	True	True	True
GEMS24	True	True	True	False	True	True	True
GEMS25	True	True	True	True	True	True	True
GEMS27	True	True	True	False	True	True	True
GEMS28	True	True	True	True	True	True	True
GEMS29	True	True	True	False	True	True	True
GEMS3	True	True	True	True	True	True	True
GEMS30	True	True	True	True	True	True	True
GEMS31	True	True	True	True	True	True	True
GEMS32	True	True	True	True	True	True	True
GEMS33	True	True	True	True	True	True	True
GEMS35	True	True	True	True	True	True	True
GEMS36	True	True	True	False	True	True	True
GEMS37	True	True	True	False	True	True	True
GEMS39	True	True	True	False	True	True	True
GEMS4	True	True	True	True	True	True	True
GEMS40	True	True	True	True	True	True	True
GEMS41	True	True	True	True	True	True	True
GEMS42	True	True	True	False	True	True	True
GEMS43	True	True	True	False	True	True	True
GEMS44	True	True	True	True	True	True	True
GEMS45	True	True	True	False	True	True	True
GEMS46	True	True	True	True	True	True	True
GEMS47	True	True	True	False	True	True	True
GEMS48	True	True	True	True	True	True	True
GEMS49	True	True	True	False	True	True	True
GEMS5	True	True	True	False	True	True	True
GEMS50	True	True	True	True	True	True	True
GEMS51	True	True	True	False	True	True	True
GEMS52	True	True	True	False	True	True	True
GEMS53	True	True	True	False	True	True	True
GEMS54	True	True	True	True	True	True	True
GEMS55	True	True	True	True	True	True	True
GEMS56	True	True	True	False	True	True	True
GEMS57	True	True	True	False	True	True	True
GEMS58	True	True	True	False	True	True	True
GEMS59	True	True	True	False	True	True	True
GEMS6	True	True	True	True	True	True	True
GEMS60	True	True	True	False	True	True	True
GEMS61	True	True	True	True	True	True	True
GEMS62	True	True	True	True	True	True	True
