priority	source	dataset	landing_url	expected_content	download_to	why_needed	status
1	G2F	2014-2023 G2F Genotypic Data	https://doi.org/10.25739/ragt-7213	DOI landing page for the newest public G2F inbred genotype release	data/external/g2f/genotypic_2014_2023/	expands maize genotype-only pretraining beyond 461 ZEAMAP accessions	direct_files_resolved
1	G2F	inbreds_G2F_2014-2023_437k.vcf	https://data.cyverse.org/dav-anon/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_genotypic_data_2014_to_2023/inbreds_G2F_2014-2023_437k.vcf	437k SNP VCF for G2F inbred materials	data/external/g2f/genotypic_2014_2023/inbreds_G2F_2014-2023_437k.vcf	primary external genotype pretraining source	needs_download_cyverse_ip_verification
1	G2F	key_inbreds_G2F_2014-2023.txt	https://data.cyverse.org/dav-anon/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_genotypic_data_2014_to_2023/key_inbreds_G2F_2014-2023.txt	sample/accession key for the VCF	data/external/g2f/genotypic_2014_2023/key_inbreds_G2F_2014-2023.txt	required to map G2F sample names	needs_download_cyverse_ip_verification
1	G2F	readme.txt	https://data.cyverse.org/dav-anon/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_genotypic_data_2014_to_2023/readme.txt	readme/provenance for the VCF release	data/external/g2f/genotypic_2014_2023/readme.txt	required for methods/provenance	needs_download_cyverse_ip_verification
1	G2F	2014-2023 G2F Genotypic Data CyVerse directory	https://datacommons.cyverse.org/browse/iplant/home/shared/commons_repo/curated/GenomesToFields_G2F_genotypic_data_2014_to_2023	direct CyVerse Data Commons browse directory for the G2F genotypic DOI	data/external/g2f/genotypic_2014_2023/	direct download/browse target resolved from DOI	cyverse_browse_reference
1	G2F	G2F resources index	https://www.genomes2fields.org/resources/	official resource page listing G2F genotype, phenotype, and environment datasets	data/external/g2f/	use as source-of-truth index for G2F data provenance	reference_only
2	Panzea	Panzea public genotype flat files	https://www.panzea.org/genotypes	public maize genotype datasets including HapMap, GBS, and MaizeSNP50 chip flat files	data/external/panzea/genotypes/	expands maize diversity genotype pretraining	needs_download
2	Panzea	Panzea genotype search	https://www.panzea.org/genotype-search	search/download entry for specific Panzea genotype datasets	data/external/panzea/	use to locate HapMap/GBS files and metadata	reference_only
3	Panzea	HapMap3 / 1210 maize lines genotype data	https://www.panzea.org/genotypes	large maize diversity genotype data; prefer B73-coordinate VCF or HapMap format	data/external/panzea/hapmap3/	high-value genotype-only pretraining source	needs_download
4	G2F	G2F phenotype/environment data	https://www.genomes2fields.org/resources/	phenotype and environment tables for external validation; not first priority	data/external/g2f/phenotype_environment/	optional downstream transfer/evaluation data	optional_later
