reference_key	citation_marker	expected_section	reference_present	cited_in_manuscript	coverage_status
Gui2020_ZEAMAP	Gui et al., 2020	Introduction/Data acquisition	True	True	covered
Jiao2017_B73RefGenV4	Jiao et al., 2017	GWAS annotation	True	True	covered
Yates2022_EnsemblGenomes	Yates et al., 2022	Annotation provenance	True	True	covered
Zhou2012_GEMMA	Zhou and Stephens, 2012	GWAS methods	True	True	covered
Zhou2014_MV_LMM	Zhou and Stephens, 2014	Optional mixed-model methods	True	True	covered
Benjamini1995_FDR	Benjamini and Hochberg, 1995	Multiple testing	True	True	covered
Li2013_MaizeOilGWAS	Li et al., 2013	Oil GWAS context	True	True	covered
Alrefai1995_FattyAcidQTL	Alrefai et al., 1995	Fatty-acid QTL context	True	True	covered
Cook2012_KernelComposition	Cook et al., 2012	Kernel-composition genetics	True	True	covered
Zheng2008_DGAT	Zheng et al., 2008	DGAT/oil biology	True	True	covered
Katral2022_Zmfatb	Katral et al., 2022	Zmfatb/FatB support	True	True	covered
Zhang2023_OilQTL	Zhang et al., 2023	Recent maize oil QTL context	True	True	covered
Bonaventure2003_FATB	Bonaventure et al., 2003	Cross-species FATB pathway support	True	True	covered
Pedregosa2011_sklearn	Pedregosa et al., 2011	Software	True	True	covered
Harris2020_NumPy	Harris et al., 2020	Software	True	True	covered
Virtanen2020_SciPy	Virtanen et al., 2020	Software	True	True	covered
McKinney2010_pandas	McKinney, 2010	Software	True	True	covered
Hunter2007_Matplotlib	Hunter, 2007	Software	True	True	covered
