reference_key	position	first_author	year	has_author_initials	has_year_parentheses	has_doi_or_public_url	is_numbered_entry	appears_in_reference_block	alphabetical_order_pass
Alrefai1995_FattyAcidQTL	1	Alrefai	1995	True	True	True	False	True	True
Benjamini1995_FDR	2	Benjamini	1995	True	True	True	False	True	True
Bonaventure2003_FATB	3	Bonaventure	2003	True	True	True	False	True	True
Cook2012_KernelComposition	4	Cook	2012	True	True	True	False	True	True
Gui2020_ZEAMAP	5	Gui	2020	True	True	True	False	True	True
Harris2020_NumPy	6	Harris	2020	True	True	True	False	True	True
Hunter2007_Matplotlib	7	Hunter	2007	True	True	True	False	True	True
Jiao2017_B73RefGenV4	8	Jiao	2017	True	True	True	False	True	True
Katral2022_Zmfatb	9	Katral	2022	True	True	True	False	True	True
Li2013_MaizeOilGWAS	10	Li	2013	True	True	True	False	True	True
McKinney2010_pandas	11	McKinney	2010	True	True	True	False	True	True
Pedregosa2011_sklearn	12	Pedregosa	2011	True	True	True	False	True	True
Virtanen2020_SciPy	13	Virtanen	2020	True	True	True	False	True	True
Yates2022_EnsemblGenomes	14	Yates	2022	True	True	True	False	True	True
Zhang2023_OilQTL	15	Zhang	2023	True	True	True	False	True	True
Zheng2008_DGAT	16	Zheng	2008	True	True	True	False	True	True
Zhou2012_GEMMA	17	Zhou	2012	True	True	True	False	True	True
Zhou2014_MV_LMM	18	Zhou	2014	True	True	True	False	True	True
