artifact	path	status	bytes	stderr
en_docx	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-en.docx	pass	21527	
zh_docx	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-zh.docx	pass	23764	
en_latex	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-en.tex	pass	30033	
zh_latex	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-zh.tex	pass	27901	
en_pdf	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-en.pdf	pass	44036	ReportLab PDF for English revised manuscript.
en_md	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-en.md	pass	26502	
zh_md	docs/2026-06-06-zeamap-v0-1-stage5-35-revised-submission-manuscript-zh.md	pass	23944	
figure4_png	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_35/figure4_integrated_prediction_gwas_evidence_nature.png	pass	560491	
figure4_pdf	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_35/figure4_integrated_prediction_gwas_evidence_nature.pdf	pass	26166	
figure4_svg	results/v0_1_baseline/gemma_lmm_v0_1/manuscript_figures_stage5_35/figure4_integrated_prediction_gwas_evidence_nature.svg	pass	110255	
