trait	locus_id	candidate_gene_id	lead_snps	min_p_value	min_q_value_bh	best_significance_rank	best_relation	min_distance_to_gene_bp	has_ridge_attribution_support	gene_description	gene_biotype	annotation_source	best_significance_class	functional_keyword_class
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L068	Zm00001d045383	1	7.764919e-17	1.5518656516640003e-11	0	gene_body	0	False	 deoxy xylulose synthase3	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	bonferroni_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L052	Zm00001d036982	1	1.386503e-08	0.00069275235892	0	gene_body	0	True	 linoleic acid1	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	bonferroni_0_05	fatty_acid_lipid
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L006	Zm00001d031002	1	8.227436e-08	0.0032886048984319	0	gene_body	0	True	Tetratricopeptide repeat (TPR)-like superfamily protein	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	bonferroni_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L034	Zm00001d049510	1	2.209856e-07	0.0040150270976	0	gene_body	0	False	Putative cellulose synthase-like family protein  	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	bonferroni_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L033	Zm00001d049442	1	3.763461e-07	0.00552841267488	1	cis_window	6677	True	Polyadenylation and cleavage factor homolog 5	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L060	Zm00001d021214	1	3.979572e-07	0.00552841267488	1	promoter	0	False	Ethylene-responsive transcription factor RAP2-11	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	hormone_stress_regulatory
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L071	Zm00001d047166	1	4.149297e-07	0.00552841267488	1	gene_body	0	False	Cystathionine gamma-synthase 1 chloroplastic	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L060	Zm00001d021162	1	6.921142e-07	0.0072801671344842	1	gene_body	0	True	polymerase delta 4	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L050	Zm00001d036608	1	1.39327e-06	0.013922668456	1	gene_body	0	False	Glycosyl hydrolases family 31  protein	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L040	Zm00001d013111	1	2.189659e-06	0.0190268038740869	1	cis_window	73	False	DnaJ protein  	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L068	Zm00001d045389	1	2.508584e-06	0.02005422255616	1	gene_body	0	False	Putative pentatricopeptide repeat-containing protein  mitochondrial	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L044	Zm00001d013849	1	2.837298e-06	0.021809654964923	1	cis_window	5032	True	Trihelix transcription factor GT-2	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	hormone_stress_regulatory
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L058	Zm00001d020206	1	4.227652e-06	0.0298974116869333	1	nearest	195787	False	3-ketoacyl-CoA synthase  	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	fatty_acid_lipid
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L019	Zm00001d005450	1	4.414325e-06	0.0298974116869333	1	gene_body	0	False	PTI1-like tyrosine-protein kinase 3	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L070	Zm00001d047102	1	4.487843e-06	0.0298974116869333	1	cis_window	439	False	Zinc finger protein ZAT9	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L060	Zm00001d021167	1	6.082683e-06	0.0379893966765	1	gene_body	0	False	UDP-glycosyltransferase 74B1	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L065	Zm00001d009147	1	7.345724e-06	0.0444874853255757	1	gene_body	0	True	CONTAINS InterPro DOMAIN/s: NEFA-interacting nuclear protein NIP30 N-terminal (InterPro:IPR019331); Has 398 Blast hits to 395 proteins in 139 species: Archae - 0; Bacteria - 6; Metazoa - 193; Fungi - 83; Plants - 36; Viruses - 0; Other Eukaryotes - /.../ource: NCBI BLink).	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_0	agri_aa_oil__Oil_C16_0__L039	Zm00001d053931	1	8.665546e-06	0.0474338122369729	1	gene_body	0	False	Peroxisome biogenesis protein 16	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	fdr_0_05	
agri_aa_oil__Oil_C16_1	agri_aa_oil__Oil_C16_1__L012	Zm00001d031002	1	2.081623e-07	0.034746014844	0	gene_body	0	True	Tetratricopeptide repeat (TPR)-like superfamily protein	protein_coding	Ensembl Plants release 47 B73 RefGen_v4 GFF3	bonferroni_0_05	
