trait	nearest_gene_id	gene_relation	lead_snps	min_p_value	min_q_value_bh	max_minus_log10_p	min_distance_to_gene_bp
agri_aa_oil__Oil_C16_0	Zm00001d045383	gene_body	1	7.764919000000001e-17	1.5518656516640003e-11	16.10986307026852	0
agri_aa_oil__Oil_C16_0	Zm00001d036982	gene_body	1	1.386503e-08	0.00069275235892	7.858079186394784	0
agri_aa_oil__Oil_C16_0	Zm00001d031002	gene_body	1	8.227436e-08	0.0032886048984319995	7.08473548733258	0
agri_aa_oil__Oil_C16_0	Zm00001d049510	gene_body	1	2.209856e-07	0.0040150270976	6.655636025157845	0
agri_aa_oil__Oil_C16_0	Zm00001d049442	cis_window	1	3.763461e-07	0.00552841267488	6.424412580113979	6677
agri_aa_oil__Oil_C16_0	Zm00001d021214	promoter	1	3.979572e-07	0.00552841267488	6.400163633462347	0
agri_aa_oil__Oil_C16_0	Zm00001d047166	gene_body	1	4.149297e-07	0.00552841267488	6.382025477958511	0
agri_aa_oil__Oil_C16_0	Zm00001d021162	gene_body	1	6.921142e-07	0.00728016713448421	6.159822240315119	0
agri_aa_oil__Oil_C16_0	Zm00001d036608	gene_body	1	1.39327e-06	0.013922668456	5.85596471405156	0
agri_aa_oil__Oil_C16_0	Zm00001d013111	cis_window	1	2.189659e-06	0.019026803874086954	5.659623513447211	73
agri_aa_oil__Oil_C16_0	Zm00001d045389	gene_body	1	2.508584e-06	0.020054222556160003	5.60057135203081	0
agri_aa_oil__Oil_C16_0	Zm00001d013849	cis_window	1	2.837298e-06	0.021809654964923077	5.547095048074813	5032
agri_aa_oil__Oil_C16_0	Zm00001d020206	nearest	1	4.227652e-06	0.029897411686933332	5.373900768928439	195787
agri_aa_oil__Oil_C16_0	Zm00001d005450	gene_body	1	4.414325e-06	0.029897411686933332	5.355135695526281	0
agri_aa_oil__Oil_C16_0	Zm00001d047102	cis_window	1	4.487843e-06	0.029897411686933332	5.347962344583068	439
agri_aa_oil__Oil_C16_0	Zm00001d021167	gene_body	1	6.082683e-06	0.037989396676500004	5.2159048162738975	0
agri_aa_oil__Oil_C16_0	Zm00001d009147	gene_body	1	7.345724e-06	0.04448748532557576	5.133965393378258	0
agri_aa_oil__Oil_C16_0	Zm00001d053931	gene_body	1	8.665546e-06	0.047433812236972975	5.0622040679972	0
agri_aa_oil__Oil_C16_0	Zm00001d021221	gene_body	1	1.844547e-05	0.07828143009333334	4.734110274250897	0
agri_aa_oil__Oil_C16_0	Zm00001d009152	cis_window	1	1.880108e-05	0.07828143009333334	4.725817202620969	212
agri_aa_oil__Oil_C16_0	Zm00001d044646	gene_body	1	1.946952e-05	0.07941021202285714	4.710644755409654	0
agri_aa_oil__Oil_C16_0	Zm00001d013595	gene_body	1	2.102358e-05	0.08238605106823528	4.677293328181214	0
agri_aa_oil__Oil_C16_0	Zm00001d003641	cis_window	1	2.256436e-05	0.08508722136150944	4.64657697999937	7504
agri_aa_oil__Oil_C16_0	Zm00001d005018	gene_body	1	2.504647e-05	0.09101249651490909	4.601253474090118	0
agri_aa_oil__Oil_C16_0	Zm00001d019083	gene_body	1	2.587969e-05	0.09236091651142857	4.587040930170869	0
agri_aa_oil__Oil_C16_0	Zm00001d045298	cis_window	1	3.018102e-05	0.10582206900210525	4.520266086863744	35
agri_aa_oil__Oil_C16_0	Zm00001d002884	cis_window	1	3.349802e-05	0.1154272462951724	4.474980862470236	380
agri_aa_oil__Oil_C16_0	Zm00001d043905	gene_body	1	3.56798e-05	0.12086139167457627	4.447577588688847	0
agri_aa_oil__Oil_C16_0	Zm00001d023753	promoter	1	3.69873e-05	0.12118252178360656	4.431947370168754	0
agri_aa_oil__Oil_C16_0	Zm00001d005964	gene_body	1	3.861536e-05	0.12447599013161291	4.41323991200301	0
agri_aa_oil__Oil_C16_0	Zm00001d039717	gene_body	1	4.19375e-05	0.130960328125	4.3773974624869325	0
