trait	n_non_missing	variants_tested	p_source_column	bonferroni_0_05	fdr_0_05_hits	bonferroni_hits	min_p_value	lambda_gc
agri_aa_oil__Oil_C200_C220	440	199856	p_lrt	2.5018012969337924e-07	25	19	2.348284e-25	1.0090495676765694
agri_aa_oil__Oil_C18_1	440	199856	p_lrt	2.5018012969337924e-07	43	18	4.545209e-19	1.0014253640514537
agri_aa_oil__Oil_C18_0	440	199856	p_lrt	2.5018012969337924e-07	53	21	4.2493770000000007e-17	0.9847931512263866
agri_aa_oil__Oil_C16_0	440	199856	p_lrt	2.5018012969337924e-07	37	12	7.764919000000001e-17	0.9983230589348273
agri_aa_oil__Oil_OIL	440	199856	p_lrt	2.5018012969337924e-07	78	17	1.516051e-14	0.983962893281375
agri_aa_oil__Oil_C182_C183	440	199856	p_lrt	2.5018012969337924e-07	4	4	1.867187e-13	1.0106039668229918
agri_aa_oil__Oil_C20_0	440	199856	p_lrt	2.5018012969337924e-07	27	13	3.922545e-12	0.9981003358359001
agri_aa_oil__Oil_C20_1	440	199856	p_lrt	2.5018012969337924e-07	33	12	2.007069e-11	0.9958739277388848
agri_aa_oil__Oil_C18_2	440	199856	p_lrt	2.5018012969337924e-07	35	9	7.432554e-10	0.9937347244061562
agri_aa_oil__Oil_C16_1	440	199856	p_lrt	2.5018012969337924e-07	3	1	2.081623e-07	1.0184327023340416
