table_file	column	description	role	needs_manual_review
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	region_id	Stable identifier for the prioritized regional locus.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	top_candidate_gene_id	Primary local candidate gene used to name the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	chrom	B73 RefGen_v4 chromosome.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	region_center	Central coordinate of the merged candidate region.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	region_start	Start coordinate of the regional window.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	region_end	End coordinate of the regional window.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	traits	Semicolon-separated oil traits associated with the region.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	loci	Original per-trait locus identifiers merged into the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	best_p_value	Smallest GEMMA likelihood-ratio p-value observed in the region.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	best_variant_id	Lead SNP identifier for the strongest association in the region.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	best_trait	Trait associated with the smallest regional p-value.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	priority_score	Manuscript triage score integrating significance, recurrence, attribution and annotation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	priority_tier	Manuscript priority tier.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	functional_keyword_classes	Local functional keyword class assigned from annotation text.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	lipid_keyword_genes	Candidate genes with lipid/fatty-acid keywords.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	has_ridge_attribution_support	Whether ridge-based attribution also supported the locus.	cross_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	candidate_gene_descriptions	Local B73 RefGen_v4 candidate gene descriptions.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	evidence_level	Curated evidence class for manuscript interpretation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	evidence_label	Human-readable evidence label.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	primary_candidate_gene	Primary candidate gene emphasized for the region.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	primary_candidate_description	Description of the primary candidate gene.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	external_annotation_summary	Stage 5.6 curated external annotation summary.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	recommended_manuscript_claim	Recommended cautious wording for the manuscript.	claim_boundary	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	claim_boundary	Explicit limit on what the current evidence supports.	claim_boundary	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	citation_ids	Curated citation identifiers supporting the locus interpretation.	citation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	trait_count	Number of oil traits supporting the region.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	top_traits_short	Short oil-trait names for display.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	external_annotation_class	Stage 5.11 external annotation class.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	external_support_summary	Database/literature-backed support summary.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	database_terms_to_verify	Terms or aliases that still require database verification before final submission.	quality_control	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	literature_support	Literature sources supporting the external annotation class.	citation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	external_urls	URLs used for first-pass external annotation hardening.	citation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	submission_claim	Final-stage recommended candidate-locus claim.	claim_boundary	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_external_annotation.tsv	remaining_risk	Remaining interpretation risk for this row.	quality_control	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	region_id	Stable identifier for the prioritized regional locus.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	top_candidate_gene_id	Primary local candidate gene used to name the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	chrom	B73 RefGen_v4 chromosome.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	region_center	Central coordinate of the merged candidate region.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	region_start	Start coordinate of the regional window.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	region_end	End coordinate of the regional window.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	traits	Semicolon-separated oil traits associated with the region.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	loci	Original per-trait locus identifiers merged into the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	best_p_value	Smallest GEMMA likelihood-ratio p-value observed in the region.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	best_variant_id	Lead SNP identifier for the strongest association in the region.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	best_trait	Trait associated with the smallest regional p-value.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	priority_score	Manuscript triage score integrating significance, recurrence, attribution and annotation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	priority_tier	Manuscript priority tier.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	functional_keyword_classes	Local functional keyword class assigned from annotation text.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	lipid_keyword_genes	Candidate genes with lipid/fatty-acid keywords.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	has_ridge_attribution_support	Whether ridge-based attribution also supported the locus.	cross_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	candidate_gene_descriptions	Local B73 RefGen_v4 candidate gene descriptions.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	evidence_level	Curated evidence class for manuscript interpretation.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	evidence_label	Human-readable evidence label.	triage	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	primary_candidate_gene	Primary candidate gene emphasized for the region.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	primary_candidate_description	Description of the primary candidate gene.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	external_annotation_summary	Stage 5.6 curated external annotation summary.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	recommended_manuscript_claim	Recommended cautious wording for the manuscript.	claim_boundary	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	claim_boundary	Explicit limit on what the current evidence supports.	claim_boundary	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	citation_ids	Curated citation identifiers supporting the locus interpretation.	citation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	trait_count	Number of oil traits supporting the region.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/top_regional_loci_evidence.tsv	top_traits_short	Short oil-trait names for display.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	locus_id	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	trait	Trait-level annotation or result field.	trait_evidence	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	chrom	B73 RefGen_v4 chromosome.	coordinate	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	locus_start	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	locus_end	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	top_variant_id	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	top_p_value	Association p-value or p-value-derived field.	association	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	top_minus_log10_p	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	best_significance_class	Column retained from the analysis output; verify exact semantics before final submission.	needs_review	True
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	top_candidate_gene_id	Primary local candidate gene used to name the region.	identifier	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	candidate_gene_descriptions	Local B73 RefGen_v4 candidate gene descriptions.	annotation	False
results/v0_1_baseline/gemma_lmm_v0_1/manuscript_tables/main_tier1_locus_table.tsv	recurrent_traits	Trait-level annotation or result field.	trait_evidence	False
