trait	n_non_missing	variants_tested	bonferroni_0_05	fdr_0_05_hits	bonferroni_hits	min_p_value	lambda_gc
agri_aa_oil__Oil_OIL	440	199856	2.5018012969337924e-07	42981	4316	2.7625563956020425e-54	3.970421787635641
agri_aa_oil__Oil_C18_1	440	199856	2.5018012969337924e-07	39399	3603	1.7134486346069542e-51	3.7203426070663927
agri_aa_oil__Oil_C18_2	440	199856	2.5018012969337924e-07	38639	3441	1.696169257310806e-42	3.7565828292471832
agri_aa_oil__Oil_C20_1	440	199856	2.5018012969337924e-07	33044	2944	1.3487549545904635e-40	3.298848496244689
agri_aa_oil__Oil_C20_0	440	199856	2.5018012969337924e-07	33490	2599	5.377956420454098e-43	3.496820247259059
agri_aa_oil__Oil_C18_0	440	199856	2.5018012969337924e-07	34705	2455	1.7658478469887518e-44	3.4961405244132355
agri_aa_oil__Oil_C16_0	440	199856	2.5018012969337924e-07	29981	2229	4.09698816792703e-34	3.2252051585301387
agri_aa_oil__Oil_C200_C220	440	199856	2.5018012969337924e-07	27376	1477	6.368168728934361e-52	3.1609889963772426
agri_aa_oil__Oil_C182_C183	440	199856	2.5018012969337924e-07	12109	635	6.3047830385723005e-21	2.4054596691066985
agri_aa_oil__Oil_C16_1	440	199856	2.5018012969337924e-07	22306	970	5.8876900931338255e-24	2.9780630510970467
