trait	median_pearson_gain	mean_pearson_gain	median_r2_gain	mean_r2_gain	methylation_better_pearson_seeds	methylation_better_r2_seeds
metabolite__Feruloyltryptamine_E1	0.11407795816788027	0.09624454482298055	0.06915075653705105	0.07744540659919033	5	5
metabolite__N_Coumaroyltryptamine_E1	0.061075167795451135	0.07404116925146295	0.04811470781633742	0.04677987617256807	5	5
agri_aa_oil__Oil_C18_3	0.03422728524775531	0.04076323861249213	0.03327291524620635	0.049806300372351474	5	5
agri_aa_oil__Oil_C180_C200	0.02676199558690362	0.04836981849404855	0.008958639523577006	0.0796786185992356	3	3
agri_aa_oil__Earlength	0.021132491378730855	0.007163360953594581	0.010233049294549934	0.006194619327810491	3	4
agri_aa_oil__Kernernumberperrow	0.019991291869820543	0.011116953837608986	0.005718407199127418	0.0062113118168801275	3	3
metabolite__Norcinnamolaurine_E2	0.019470358422645717	0.014883230022045921	0.00579833219196868	0.005930016959310569	4	5
agri_aa_oil__Oil_C22_0P	0.01847914854006938	0.008804285849702909	0.0019441290113213494	-0.00509470292200429	4	3
agri_aa_oil__Plantheight	0.017330423636141123	0.0051704675378290935	-0.008017006010626493	-0.007610755579604533	3	2
agri_aa_oil__Earheight	0.015095833438547757	0.007431391809036042	0.012903352204663099	0.0025103209339964573	4	3
metabolite__L_Glutamic_acid_E1	0.01433523714596946	-0.025158925652909125	0.009142833879093204	0.0016566665929737211	3	3
agri_aa_oil__Oil_C20_1P	0.013979076662237744	-0.0040821903675355205	0.017522159856386943	0.006152001619258662	4	4
metabolite__Feruloylserotonin_E1	0.013606423571200815	0.018130763284836315	0.013784054189240669	0.01985517177141949	4	5
agri_aa_oil__Oil_C220_C240	0.012658306888949755	0.006549034726461955	0.010585607438590272	0.007091311693991975	4	4
agri_aa_oil__Headingdate	0.01218275502934163	0.010242727691642606	0.009833567199557414	0.010770642940140518	4	5
agri_aa_oil__Pollenshed	0.011702568266332869	0.03219420599962706	0.012955480410932974	0.04545311838897572	5	5
agri_aa_oil__Silkingtime	0.011030539844207432	0.011124848478009564	0.015744187235547158	0.01353473309551163	3	4
agri_aa_oil__Oil_C22_0	0.010637718013567943	0.0046799275565998725	0.013583865270870188	0.010102460794113855	3	3
agri_aa_oil__Oil_C18_1P	0.010459348534901325	0.012801869648101783	0.03509770816778479	0.05366215065960711	3	4
agri_aa_oil__Earleaflength	0.00916718714445669	0.009617681789970078	0.014299255616761708	0.009199368136024667	3	3
agri_aa_oil__AA_His	0.00772656168588659	0.012427105306585029	0.003485253133677979	-0.00016388740302168968	5	3
agri_aa_oil__AA_Arg	0.006684285300570081	0.011057330019895683	0.00562257728931459	0.014918671225169855	3	4
agri_aa_oil__kernellength	0.005452833977432792	0.020883174779667123	0.008588925647768142	0.012096676283009455	4	4
agri_aa_oil__AA_Phe	0.0049137509282682346	-0.021398786619969717	0.0014299454746169449	-0.029436775226444434	3	3
agri_aa_oil__AA_Pro	0.004778297696628714	-0.007186007267973105	0.0016893563937030454	-0.007899940333306654	3	3
agri_aa_oil__Oil_C20_0P	0.00276929959388994	0.016516991778985766	0.002897393467468534	0.026692281061470213	3	4
agri_aa_oil__Kernelthickness	0.002185061874655725	0.004469536328436707	0.00277996938194236	0.0066260485169608915	4	4
agri_aa_oil__Oil_C18_3P	0.0009760095662252333	-0.0006688390644344455	0.0037814188486930966	0.000606232218770164	3	3
agri_aa_oil__Oil_C18_0	0.0007063536879733934	0.010759443268977298	-0.0047950610314841935	0.028239024647098043	3	1
agri_aa_oil__Oil_C200_C220	0.0006974031052126017	-0.006587104252067965	0.0027268701127906025	-0.012274868340709367	3	3
agri_aa_oil__Oil_OIL	0.00019110449766890358	-0.002673490639657361	-0.0016458979144189367	-0.006326551879335418	3	2
agri_aa_oil__Oil_C18_1	-0.0007873987881096278	-0.009021371579446935	-0.004666804805507407	-0.019071770456812763	2	2
agri_aa_oil__Oil_C18_2	-0.0015462378662154386	-0.012526858469854551	-0.00480199245659918	-0.021377467629034808	2	2
agri_aa_oil__Oil_C181_C182	-0.0015589939849070533	-0.003487844650945038	-0.0024517117626331464	-0.0009761309564660259	2	2
agri_aa_oil__Oil_C20_1	-0.0028150433707511135	-0.005642415534096612	-0.004435396181489026	-0.009592759801305095	1	1
agri_aa_oil__AA_Thr	-0.003434411814038696	-0.01957760373119319	-0.010382136190741131	-0.012942265842851141	2	2
metabolite__L_Arginine_E1	-0.0038750288013746914	0.014067193745186645	-0.0029966774108699523	-0.009092446199299498	2	2
agri_aa_oil__Oil_C18_2P	-0.003895577617261059	-0.0070099795155906695	-0.010822511171622251	0.033984789590228104	2	2
agri_aa_oil__Oil_C20_0	-0.004229026740238839	-0.013951468085381414	-0.004086871955510274	-0.03795986562904672	0	1
agri_aa_oil__Oil_C200_C201	-0.005211614771934658	-0.008309831089144182	0.0031140528046579297	-0.004068804867315712	2	3
agri_aa_oil__Oil_SFA_USFA	-0.006458835882440561	-0.0058848545617796065	0.00027009922925880225	-0.0035544115812955247	1	3
metabolite__Uracil_E1	-0.006950055991370108	0.010763148093944908	-0.00673230293534155	0.027909758282079845	2	2
metabolite__Pro_Leu_E1	-0.0069543821807961925	-0.010492878725089992	-0.009443209077226289	-0.015006408778247837	2	1
metabolite__Trigonelline_E1	-0.0073646956859388935	-0.010345434273209242	-0.042038491089531504	-0.05289011033549564	2	2
agri_aa_oil__100grainweight	-0.007523936279267063	-0.014200050700470656	-0.004444720645025768	-0.008380671147859387	0	0
agri_aa_oil__Oil_C16_0	-0.0076611638388658365	-0.01007453091895314	-0.008186205146694103	-0.020108484703486074	1	1
agri_aa_oil__Oil_C16_1	-0.00864252243723862	-0.0039083413736490605	-0.010531239582009522	-0.005544014722242174	2	2
agri_aa_oil__Oil_C16_0P	-0.009228621079077182	-0.0073159258026708526	-0.015153782473832034	-0.01197397430611824	2	1
agri_aa_oil__Oil_C16_1P	-0.009283118082679842	-0.012691881012132155	-0.008247322010501268	-0.009683251100077816	1	1
agri_aa_oil__Earleafwidth	-0.00964249558180541	-0.020605848833314	-0.008430956943901058	-0.016612767434247132	1	1
agri_aa_oil__cobweight	-0.009681198150854553	-0.010315899935750505	-0.0035880921460178516	-0.0074798351728682985	1	1
agri_aa_oil__Oil_C24_0	-0.010432980081461207	-0.023641773325515692	-0.019680691813131812	-0.035118081512948526	1	2
agri_aa_oil__Oil_C24_0P	-0.010600225735977853	-0.012130440175284618	-0.007214512197920242	-0.01524296210958953	0	0
metabolite__Gluconolactone_E2	-0.011750848978546835	-0.006426167163392185	0.002569251050626886	-0.001440571654811218	2	3
metabolite__Norcinnamolaurine_E1	-0.014931488894264766	-0.008162163716717147	-0.00994633256548505	-0.01461314868736865	2	2
metabolite__Malvidin_3_O_hexoside_E2	-0.015551590463168223	-0.02327533312015938	-0.013839976450280789	-0.04054563838413172	2	1
agri_aa_oil__Leafnumberaboveear	-0.01756280234059615	-0.005466499174803107	-0.00836188254247805	-0.007468120647642995	2	2
agri_aa_oil__Oil_C18_0P	-0.018803962986473632	-0.011872223077032363	-0.002797209337924378	-0.0026431633589314	1	1
agri_aa_oil__AA_Asp	-0.020423510352649887	-0.03574188722200604	-0.016463516351729823	-0.026017432658162233	2	1
agri_aa_oil__Oil_C182_C183	-0.022875574577281177	-0.018071064649770728	-0.03414936550896497	-0.024314373790681777	1	1
agri_aa_oil__Oil_C160_C180	-0.023208905547780767	-0.020767252782298084	-0.010471905953557514	-0.010060264709171096	0	0
agri_aa_oil__Eardiameter	-0.02471143053709568	-0.020951039851770815	-0.02393523110242557	-0.01898612623353262	1	1
metabolite__Indole_3_carboxyaldehyde_E1	-0.03560628697816631	-0.04789422053589375	-0.015699608347608418	-0.028411527031317597	0	0
metabolite__IAA_E1	-0.048011596979034205	-0.04275722579649342	-0.01302009489853062	-0.01991440276082044	2	2
metabolite__Glutathione_E1	-0.052227307011671664	-0.04255564832486084	-0.04812395724605134	-0.0353456287804164	2	2
metabolite__5_Hydroxyindoleacetic_acid_E1	-0.06809254094255018	-0.048132968316860224	-0.03643948026394617	-0.013470471317412835	2	2
