seed	trait	model	split	train_non_missing	val_non_missing	test_non_missing	n_eval	r2	pearson	spearman	mae	rmse
20260605	agri_aa_oil__Oil_OIL	mean_baseline	test	306	67	67	67	-0.013843160147368527			0.9704083059179103	1.5440785074250685
20260605	agri_aa_oil__Oil_OIL	population_ridge	test	306	67	67	67	0.24408113562872213	0.5086323682328454	0.08324686726793838	0.9737562030594669	1.3332806674768498
20260605	agri_aa_oil__Oil_OIL	genotype_pca_ridge	test	306	67	67	67	0.8300541803264891	0.9248290995047752	0.688921701652167	0.4858008480283033	0.6321777890702529
20260605	agri_aa_oil__Oil_OIL	genotype_pca_population_ridge	test	306	67	67	67	0.8271520328764578	0.9242944365654668	0.6912363317104319	0.48898256638043414	0.637552757114545
20260605	agri_aa_oil__Oil_C18_2	mean_baseline	test	306	67	67	67	-0.012579845894435282			0.4245696842275389	0.7055473259096633
20260605	agri_aa_oil__Oil_C18_2	population_ridge	test	306	67	67	67	0.3251168608758339	0.5997692791856578	0.20388698220129303	0.4035796722566977	0.5760043983786812
20260605	agri_aa_oil__Oil_C18_2	genotype_pca_ridge	test	306	67	67	67	0.7944477552236464	0.8958308657672392	0.5081411126187246	0.25207577954998306	0.31788689374597906
20260605	agri_aa_oil__Oil_C18_2	genotype_pca_population_ridge	test	306	67	67	67	0.7932323855540322	0.8945415654409543	0.4901827759597734	0.24803793167550497	0.3188252942925533
20260605	agri_aa_oil__Oil_C18_1	mean_baseline	test	306	67	67	67	-0.012259873438681845			0.4906126927898743	0.7043793392016348
20260605	agri_aa_oil__Oil_C18_1	population_ridge	test	306	67	67	67	0.1314076453245242	0.3860216115471281	0.03336259877085163	0.5098851867507858	0.6524820960443626
20260605	agri_aa_oil__Oil_C18_1	genotype_pca_ridge	test	306	67	67	67	0.7551772913080604	0.8867467987125797	0.6316545614175114	0.26680506895592027	0.3464068308451483
20260605	agri_aa_oil__Oil_C18_1	genotype_pca_population_ridge	test	306	67	67	67	0.767657474105121	0.8775895720930627	0.5934631654561418	0.26037855086625106	0.3374620584242855
20260605	agri_aa_oil__Oil_C20_0	mean_baseline	test	306	67	67	67	-0.0578079622223695			0.006292175701492538	0.008460206541080218
20260605	agri_aa_oil__Oil_C20_0	population_ridge	test	306	67	67	67	0.21869837074690623	0.5101887533530455	0.3558943251656158	0.005738869175791692	0.007270878958989013
20260605	agri_aa_oil__Oil_C20_0	genotype_pca_ridge	test	306	67	67	67	0.7106384535350667	0.8540986135360887	0.6332109505946205	0.003518488516153836	0.0044248439411979125
20260605	agri_aa_oil__Oil_C20_0	genotype_pca_population_ridge	test	306	67	67	67	0.6952679289626553	0.8486652049945276	0.6192034480006386	0.003582844818137008	0.004540844517129411
20260605	agri_aa_oil__Oil_C20_1	mean_baseline	test	306	67	67	67	-0.002122608409616644			0.004139314016534972	0.0060853861608484985
20260605	agri_aa_oil__Oil_C20_1	population_ridge	test	306	67	67	67	0.22795247004804398	0.4867688233052183	0.1379200255407455	0.003995914933597565	0.005341333945617702
20260605	agri_aa_oil__Oil_C20_1	genotype_pca_ridge	test	306	67	67	67	0.7092926982526178	0.8422448639251677	0.562175752254769	0.002558244020103821	0.0032775979740948687
20260605	agri_aa_oil__Oil_C20_1	genotype_pca_population_ridge	test	306	67	67	67	0.7007746753613087	0.8375809658137263	0.5314869502753612	0.0025758553097099267	0.0033252697826639086
20260605	agri_aa_oil__Oil_C16_0	mean_baseline	test	306	67	67	67	-0.004376579431851324			0.12742846580099507	0.17608693339180892
20260605	agri_aa_oil__Oil_C16_0	population_ridge	test	306	67	67	67	0.1819751710877322	0.4319368706569112	0.17339771729587358	0.11976146532755973	0.15891397259915382
20260605	agri_aa_oil__Oil_C16_0	genotype_pca_ridge	test	306	67	67	67	0.6857995248508327	0.829976730366771	0.6859685529571395	0.07462393097570189	0.09848776008207145
20260605	agri_aa_oil__Oil_C16_0	genotype_pca_population_ridge	test	306	67	67	67	0.6777891155918505	0.8261322568316689	0.6824567004549447	0.07495764515921438	0.09973531073708206
20260605	agri_aa_oil__Oil_C18_0	mean_baseline	test	306	67	67	67	-0.07243813511310249			0.030711660205443372	0.04172291385462655
20260605	agri_aa_oil__Oil_C18_0	population_ridge	test	306	67	67	67	0.22772665334016617	0.5301340062395081	0.334264506345279	0.026969356268400357	0.035405768871865105
20260605	agri_aa_oil__Oil_C18_0	genotype_pca_ridge	test	306	67	67	67	0.6003093596895082	0.8167272603793504	0.48140314470428613	0.01952751803432465	0.0254712639294856
20260605	agri_aa_oil__Oil_C18_0	genotype_pca_population_ridge	test	306	67	67	67	0.5778280474458275	0.8126235780286073	0.4820815707558465	0.019483890070465273	0.026177803013407712
20260605	agri_aa_oil__kernellength	mean_baseline	test	320	68	70	70	-0.000564093103845309			0.5957879078342858	0.8042735672061758
20260605	agri_aa_oil__kernellength	population_ridge	test	320	68	70	70	0.37938646269309995	0.619107056746317	0.6590207245525954	0.47417193467680807	0.6334202760366637
20260605	agri_aa_oil__kernellength	genotype_pca_ridge	test	320	68	70	70	0.5366209736490755	0.7341466849705212	0.7358475710855548	0.39795250076344796	0.5473303429669768
20260605	agri_aa_oil__kernellength	genotype_pca_population_ridge	test	320	68	70	70	0.5095653748784621	0.7498388706434995	0.790663902260176	0.4088865007334104	0.5630823325884324
20260605	agri_aa_oil__Oil_C16_1	mean_baseline	test	306	67	67	67	-0.008819341507908973			0.0017661226690566776	0.0022097983510983225
20260605	agri_aa_oil__Oil_C16_1	population_ridge	test	306	67	67	67	0.030288404262399315	0.2372326299370003	0.19187485034719454	0.0017218854051087985	0.0021665426335600274
20260605	agri_aa_oil__Oil_C16_1	genotype_pca_ridge	test	306	67	67	67	0.5364480229071376	0.7472883302746722	0.664298826722005	0.001115394802118861	0.0014979425728376755
20260605	agri_aa_oil__Oil_C16_1	genotype_pca_population_ridge	test	306	67	67	67	0.5257291664132784	0.7445930473234438	0.6631415116928726	0.0011221586164066846	0.0015151622934149922
20260605	agri_aa_oil__Oil_C200_C220	mean_baseline	test	306	67	67	67	-0.0281299682293632			0.35342778500838945	0.45427710324532095
20260605	agri_aa_oil__Oil_C200_C220	population_ridge	test	306	67	67	67	0.17228854632052626	0.4469051750004338	0.36375608588075675	0.32545815746145823	0.4076020138819481
20260605	agri_aa_oil__Oil_C200_C220	genotype_pca_ridge	test	306	67	67	67	0.5240204603366561	0.7411894943304175	0.5478888977572034	0.23264774706299982	0.3090942890757643
20260605	agri_aa_oil__Oil_C200_C220	genotype_pca_population_ridge	test	306	67	67	67	0.5284105553353284	0.743426611160785	0.5791763109585762	0.2323184732662305	0.3076655546617025
20260605	agri_aa_oil__Oil_C182_C183	mean_baseline	test	306	67	67	67	-0.029817460291366116			7.499852258958149	10.10525273950598
20260605	agri_aa_oil__Oil_C182_C183	population_ridge	test	306	67	67	67	0.23057787766587912	0.518206776505352	0.227192912443132	6.795733867446194	8.734728069229368
20260605	agri_aa_oil__Oil_C182_C183	genotype_pca_ridge	test	306	67	67	67	0.5231275933200332	0.7444999896142249	0.5436986192034481	5.424084546784339	6.876511146722944
20260605	agri_aa_oil__Oil_C182_C183	genotype_pca_population_ridge	test	306	67	67	67	0.5205242096812182	0.7429331392491578	0.5273764865512013	5.414637302871279	6.895256024302785
20260605	agri_aa_oil__Oil_C18_3P	mean_baseline	test	306	67	67	67	-0.06200512082250653			0.2800111918177739	0.3583264142754425
20260605	agri_aa_oil__Oil_C18_3P	population_ridge	test	306	67	67	67	0.017435586621806665	0.2775751658135568	0.12131854098491501	0.2786064589903672	0.3446640870607131
20260605	agri_aa_oil__Oil_C18_3P	genotype_pca_ridge	test	306	67	67	67	0.4555001011193104	0.6970528921732649	0.6021629818820338	0.2048081071246433	0.2565750486670165
20260605	agri_aa_oil__Oil_C18_3P	genotype_pca_population_ridge	test	306	67	67	67	0.4519565216237754	0.6941523863183551	0.5938223321893209	0.20606388462505684	0.25740858383328113
20260605	metabolite__L_Threonine_E1	mean_baseline	test	238	44	38	38	-0.2526402888067385			306611.67624944716	343296.51373665116
20260605	metabolite__L_Threonine_E1	population_ridge	test	238	44	38	38	-0.1296046948994951	0.3011938315976971	0.17541171991019866	284415.960216869	326001.38828219613
20260605	metabolite__L_Threonine_E1	genotype_pca_ridge	test	238	44	38	38	0.22081274444307974	0.6643737595267684	0.5642063804472764	239929.29183111398	270755.39900264196
20260605	metabolite__L_Threonine_E1	genotype_pca_population_ridge	test	238	44	38	38	0.2628218222270109	0.6913502498435574	0.5946271278802367	232927.68746170518	263355.5289334323
20260605	metabolite__L_Proline_E1	mean_baseline	test	238	44	38	38	-0.0024933272436256093			20100484.298982754	24056846.698556274
20260605	metabolite__L_Proline_E1	population_ridge	test	238	44	38	38	0.11191063859296624	0.5096217613331019	0.3762105383975439	18788014.06221044	22642599.725283165
20260605	metabolite__L_Proline_E1	genotype_pca_ridge	test	238	44	38	38	0.21571088935708627	0.6043396090925539	0.6225310508852903	17683888.39855756	21278256.899486307
20260605	metabolite__L_Proline_E1	genotype_pca_population_ridge	test	238	44	38	38	0.2705736639317561	0.6600080869339526	0.6548120598519207	16895069.74464123	20520534.805894643
