trait	trait_group	pearson__genotype_pca_population_ridge	pearson__genotype_pca_ridge	pearson__population_ridge	r2__genotype_pca_population_ridge	r2__genotype_pca_ridge	r2__mean_baseline	r2__population_ridge	total_non_missing	train_non_missing	val_non_missing	test_non_missing	missing_rate	variance	used_for_baseline	trait_family	pearson_gain_vs_population	r2_gain_vs_population	pearson_gain_vs_genotype_only	r2_gain_vs_genotype_only
agri_aa_oil__Oil_OIL	agri_aa_oil	0.924294437607209	0.924829100809524	0.5086323682328454	0.8271520389356026	0.8300541866240254	-0.0138431601473685	0.2440811356287221	440	306	67	67	0.0455531453362255	2.614772620560053	True	oil	0.41566206937436356	0.5830709033068805	-0.0005346632023149889	-0.002902147688422785
agri_aa_oil__Oil_C18_2	agri_aa_oil	0.8945415668877361	0.8958308671670855	0.5997692791856578	0.7932323891817094	0.7944477584846058	-0.0125798458944352	0.3251168608758339	440	306	67	67	0.0455531453362255	0.522780248244523	True	oil	0.2947722877020783	0.46811552830587544	-0.0012893002793493702	-0.0012153693028964518
agri_aa_oil__Oil_C18_1	agri_aa_oil	0.877589573446752	0.8867467994809028	0.3860216115471281	0.767657477681241	0.7551772964010457	-0.0122598734386818	0.1314076453245242	440	306	67	67	0.0455531453362255	0.5523392154616097	True	oil	0.49156796189962393	0.6362498323567168	-0.009157226034150812	0.012480181280195346
agri_aa_oil__Oil_C20_0	agri_aa_oil	0.8486652074153735	0.8540986154200004	0.5101887533530455	0.6952679368318753	0.7106384597448796	-0.0578079622223695	0.2186983707469062	440	306	67	67	0.0455531453362255	8.910272736354148e-05	True	oil	0.33847645406232807	0.47656956608496903	-0.005433408004626883	-0.015370522913004336
agri_aa_oil__Oil_C20_1	agri_aa_oil	0.8375809682947283	0.8422448660096392	0.4867688233052183	0.7007746800096599	0.7092927018905213	-0.0021226084096166	0.2279524700480439	440	306	67	67	0.0455531453362255	3.676585214087538e-05	True	oil	0.35081214498950997	0.47282220996161606	-0.004663897714910936	-0.00851802188086137
agri_aa_oil__Oil_C16_0	agri_aa_oil	0.8261322589379528	0.8299767321728122	0.4319368706569112	0.6777891208446669	0.6857995291855487	-0.0043765794318513	0.1819751710877322	440	306	67	67	0.0455531453362255	0.0343325295080544	True	oil	0.3941953882810416	0.4958139497569347	-0.003844473234859369	-0.008010408340881736
agri_aa_oil__Oil_C18_0	agri_aa_oil	0.8126235791042038	0.8167272608396187	0.5301340062395081	0.5778280569391898	0.6003093664665243	-0.0724381351131024	0.2277266533401661	440	306	67	67	0.0455531453362255	0.0025414148419124	True	oil	0.28248957286469567	0.35010140359902375	-0.004103681735414866	-0.022481309527334514
agri_aa_oil__kernellength	agri_aa_oil	0.7498388718773434	0.7341466871210814	0.619107056746317	0.509565376145118	0.5366209765392598	-0.0005640931038453	0.3793864626930999	458	320	68	70	0.0065075921908893	0.5960559491104512	True	agronomic	0.13073181513102639	0.1301789134520181	0.015692184756261995	-0.027055600394141788
agri_aa_oil__Oil_C16_1	agri_aa_oil	0.7445930472317249	0.7472883307339214	0.2372326299370003	0.5257291686345023	0.5364480256381852	-0.0088193415079089	0.0302884042623993	440	306	67	67	0.0455531453362255	5.947209810323703e-06	True	oil	0.5073604172947246	0.49544076437210294	-0.0026952835021964994	-0.010718857003682913
agri_aa_oil__Oil_C200_C220	agri_aa_oil	0.7434266133386487	0.7411894958921033	0.4469051750004338	0.5284105611142388	0.5240204648533051	-0.0281299682293632	0.1722885463205262	440	306	67	67	0.0455531453362255	0.22213762439222	True	oil	0.29652143833821487	0.3561220147937126	0.0022371174465454224	0.0043900962609336736
agri_aa_oil__Oil_C182_C183	agri_aa_oil	0.7429331431042852	0.7444999936664582	0.518206776505352	0.5205242172053608	0.5231276009045629	-0.0298174602913661	0.2305778776658791	440	306	67	67	0.0455531453362255	89.83068048869198	True	oil	0.2247263665989332	0.2899463395394817	-0.0015668505621730944	-0.0026033836992020998
agri_aa_oil__Oil_C18_3P	agri_aa_oil	0.6941523915257505	0.6970528973809287	0.2775751658135568	0.4519565297054062	0.4555001091240463	-0.0620051208225065	0.0174355866218066	440	306	67	67	0.0455531453362255	0.0871413766132012	True	oil	0.4165772257121937	0.43452094308359956	-0.0029005058551782037	-0.0035435794186401415
metabolite__L_Threonine_E1	metabolite	0.6913502480326984	0.6643737581764417	0.3011938315976971	0.2628218200325047	0.2208127427988174	-0.2526402888067385	-0.1296046948994951	320	238	44	38	0.3058568329718004	167190521698.66772	True	metabolite	0.3901564164350013	0.3924265149319998	0.02697648985625667	0.0420090772336873
metabolite__L_Proline_E1	metabolite	0.6600080883624035	0.6043396113887464	0.5096217613331019	0.2705736664614749	0.2157108922502563	-0.0024933272436256	0.1119106385929662	320	238	44	38	0.3058568329718004	373435534168299.4	True	metabolite	0.15038632702930166	0.15866302786850872	0.05566847697365718	0.0548627742112186
metabolite__Trigonelline_E1	metabolite	0.6577372712142149	0.6546020540227999	0.3948568898101983	0.2578615352120771	0.245430357562108	-0.0149479975117454	0.0456730263749075	320	238	44	38	0.3058568329718004	5562428095991.28	True	metabolite	0.2628803814040166	0.2121885088371696	0.003135217191414963	0.012431177649969122
agri_aa_oil__Earlength	agri_aa_oil	0.6424643747940497	0.6365485358678276	0.27394984715383	0.287385775134219	0.2775767629243314	-0.0037074263540477	-0.0013789618856436	459	321	68	70	0.0043383947939262	1.803414165274599	True	agronomic	0.36851452764021975	0.2887647370198626	0.005915838926222161	0.009809012209887558
metabolite__Benzamidine_E1	metabolite	0.63721070129985	0.6432371508364665	0.3851167310246436	0.33815485094271	0.3171862349453794	-0.0029158136028477	0.1445765800040519	320	238	44	38	0.3058568329718004	197713090507.44516	True	metabolite	0.2520939702752064	0.19357827093865806	-0.006026449536616463	0.020968615997330575
agri_aa_oil__Oil_C16_0P	agri_aa_oil	0.6245024869813459	0.6046106505632948	0.4555332208756446	0.3476119471961622	0.3580257632294218	-0.0324655277998626	0.1588343839712981	440	306	67	67	0.0455531453362255	2.864724140534501	True	oil	0.16896926610570134	0.18877756322486408	0.019891836418051145	-0.010413816033259637
agri_aa_oil__Oil_C22_0	agri_aa_oil	0.6216095504028424	0.6239729034467698	0.4196877461762517	0.3651089741885407	0.3747666915718187	-0.0439692271491745	0.1446784718754827	440	306	67	67	0.0455531453362255	5.498740555624175e-06	True	oil	0.20192180422659067	0.22043050231305802	-0.0023633530439274297	-0.009657717383277975
metabolite__Glu_Glu_E2	metabolite	0.6214574875901805	0.6769872517148832	0.0681921142571767	0.0098438296192969	0.0091902656306916	-0.0124367555292237	-0.0116922022942127	320	238	44	38	0.3058568329718004	13686932281152.035	True	metabolite	0.5532653733330037	0.0215360319135096	-0.055529764124702674	0.0006535639886053012
agri_aa_oil__Oil_SFA_USFA	agri_aa_oil	0.6072951694436046	0.5909627634581115	0.4544923050671793	0.3378748991344089	0.286959305692104	-0.0085659758773692	0.1865945907439083	440	306	67	67	0.0455531453362255	0.0007210654204242	True	oil	0.15280286437642532	0.15128030839050058	0.016332405985493126	0.050915593442304896
metabolite__Np_Npp_Feruloyl_caffeoyl_spermidine_derivative_E2	metabolite	0.6006843524234436	0.5599449062819731	0.5681044047898672	0.156270786635032	0.0239733220970813	-0.0015035985933793	0.2824582609476603	320	238	44	38	0.3058568329718004	4086806925163.6943	True	metabolite	0.03257994763357641	-0.1261874743126283	0.040739446141470514	0.1322974645379507
metabolite__5_Hydroxyindoleacetic_acid_E1	metabolite	0.600658397454373	0.5961297351944421	0.2975582382132735	0.2884331445344499	0.2674064871046681	-0.0414382170695164	-0.0415124858603848	320	238	44	38	0.3058568329718004	19755631930054.86	True	metabolite	0.3031001592410995	0.3299456303948347	0.004528662259930871	0.021026657429781825
metabolite__DIMBOA_glucoside_E1	metabolite	0.5994274568125647	0.6282950541947273	0.1579928314595133	0.1391887709660345	0.1253938234847431	-0.0007437606230942	0.0242780431350299	320	238	44	38	0.3058568329718004	277189699119.5818	True	metabolite	0.44143462535305145	0.11491072783100459	-0.028867597382162602	0.013794947481291397
agri_aa_oil__Oil_C18_1P	agri_aa_oil	0.5970206817229022	0.5989336690753077	0.2082395177837314	0.3493391999183041	0.3532172045045	-0.0075746719277109	0.0132342359469289	440	306	67	67	0.0455531453362255	38.159605786750966	True	oil	0.38878116393917084	0.3361049639713752	-0.0019129873524054153	-0.0038780045861959156
agri_aa_oil__Oil_C18_2P	agri_aa_oil	0.5958478952167248	0.6191740930805371	0.3322554730858176	0.3265250109272212	0.3782228420993937	-0.0022074565875076	0.1030813562374105	440	306	67	67	0.0455531453362255	34.17360458855153	True	oil	0.26359242213090717	0.2234436546898107	-0.023326197863812292	-0.051697831172172526
agri_aa_oil__Silkingtime	agri_aa_oil	0.5951184091899957	0.6570946850923038	0.3988491294022806	0.3519360141272877	0.428450895040803	-0.0002231630008919	0.1041884964486492	459	321	68	70	0.0043383947939262	12.473752177992944	True	agronomic	0.19626927978771508	0.2477475176786385	-0.06197627590230814	-0.07651488091351533
metabolite__Pyroglutamic_acid_E1	metabolite	0.5913646073516078	0.5609334650444179	0.3866372462933473	0.0833485039834804	0.2378962814134904	-0.0275947657459521	-0.0004380219716375	320	238	44	38	0.3058568329718004	8429742793.005486	True	metabolite	0.2047273610582605	0.0837865259551179	0.030431142307189907	-0.15454777743001
agri_aa_oil__Pollenshed	agri_aa_oil	0.5869225650721772	0.6406528970042389	0.4419947212490146	0.3443519376558154	0.4054049644341498	-0.0009277514315018	0.1425727684140499	459	321	68	70	0.0043383947939262	13.205078182487275	True	agronomic	0.1449278438231626	0.2017791692417655	-0.05373033193206167	-0.06105302677833441
agri_aa_oil__Oil_C24_0P	agri_aa_oil	0.5789056445440119	0.5867638498961353	0.2135644023488044	0.301844565233441	0.3104661429016809	-0.0206654492938136	-0.0241229859992311	440	306	67	67	0.0455531453362255	0.0059697893422165	True	oil	0.3653412421952076	0.32596755123267207	-0.007858205352123337	-0.0086215776682399
metabolite__Coumaroylserotonin_E1	metabolite	0.563753439335103	0.5977726638800708	0.1726883172462642	0.3096967509061118	0.3569800904090241	-0.0106728055076528	-0.0755293281507314	320	238	44	38	0.3058568329718004	1139201157250.768	True	metabolite	0.3910651220888388	0.38522607905684325	-0.03401922454496775	-0.0472833395029123
metabolite__N_caffeoyl_O_hexoside_spermidine_E1	metabolite	0.5600398465032688	0.5778669336425432	0.4263492527748049	0.1915802147514942	0.173414430011917	-0.0730598028946878	0.1082923128851378	320	238	44	38	0.3058568329718004	672993459775.9943	True	metabolite	0.13369059372846387	0.0832879018663564	-0.01782708713927439	0.018165784739577195
agri_aa_oil__Headingdate	agri_aa_oil	0.5582158089612339	0.5842752882297859	0.471041315223551	0.3066103023801259	0.3261432423288859	-0.0036533865870773	0.1774305829058879	459	321	68	70	0.0043383947939262	13.494123969241098	True	agronomic	0.08717449373768288	0.12917971947423798	-0.02605947926855201	-0.019532939948760042
metabolite__Tryptamine_E1	metabolite	0.5534237861980783	0.6557713333979089	0.0733075733385949	0.1033167898945126	0.1036014094503795	-0.0061009131351703	-0.0109989415125935	320	238	44	38	0.3058568329718004	14355848036657.916	True	metabolite	0.4801162128594834	0.1143157314071061	-0.10234754719983064	-0.0002846195558669079
agri_aa_oil__Oil_C181_C182	agri_aa_oil	0.5521077843813205	0.5885245367551472	0.2157133089790996	0.2882918266511142	0.3396996703582053	-0.0057143582687837	0.0330653424474904	440	306	67	67	0.0455531453362255	0.0421941057570335	True	oil	0.3363944754022209	0.2552264842036238	-0.03641675237382669	-0.051407843707091117
agri_aa_oil__Leafnumberaboveear	agri_aa_oil	0.5513138035959115	0.4960096937547841	0.5189633326445492	0.2268660510190094	0.1501856111850118	-0.1053060546291084	0.1811643717944449	459	321	68	70	0.0043383947939262	0.3671240794312702	True	agronomic	0.03235047095136234	0.0457016792245645	0.055304109841127436	0.07668043983399758
agri_aa_oil__Oil_C16_1P	agri_aa_oil	0.5510428866480737	0.5709610432802403	0.2224098461299344	0.2913299915764898	0.2916459291692279	-0.0075280117081022	0.0283326515351522	440	306	67	67	0.0455531453362255	0.0016116690334497	True	oil	0.32863304051813924	0.2629973400413376	-0.019918156632166673	-0.0003159375927380692
metabolite__L_Aspartic_acid_E1	metabolite	0.5499336714419243	0.4769651957292594	0.2598223311051735	0.2565074120694935	0.2008590098511322	-4.384232837861824e-05	0.0389696912427334	320	238	44	38	0.3058568329718004	4765923996865.204	True	metabolite	0.2901113403367508	0.21753772082676012	0.0729684757126649	0.055648402218361315
metabolite__Feruloyltryptamine_E1	metabolite	0.5456895823955218	0.534994640506135	0.3126548469088972	0.246162126038046	0.2196429630321057	-0.0001976188193331	0.0915747988647682	320	238	44	38	0.3058568329718004	367226781932535.7	True	metabolite	0.23303473548662457	0.15458732717327778	0.0106949418893868	0.02651916300594029
metabolite__L_saccharopine_E1	metabolite	0.5411687918703045	0.5315338848900307	0.4218204139970295	0.0696152176244846	0.0521183972727585	-0.0144977511283792	0.0866893299736656	320	238	44	38	0.3058568329718004	384146596536.4934	True	metabolite	0.11934837787327501	-0.017074112349181006	0.009634906980273805	0.017496820351726096
agri_aa_oil__Oil_C160_C180	agri_aa_oil	0.5396400091789009	0.5270204354581333	0.3317322927720659	0.2119315125132277	0.1836505166216705	-0.1200866746168529	0.0003730944176093	440	306	67	67	0.0455531453362255	3.0262603480812817	True	oil	0.20790771640683497	0.2115584180956184	0.012619573720767607	0.028280995891557192
metabolite__L_Tyrosine_E1	metabolite	0.5384424190302268	0.6156300385975347	0.3781771283755148	0.0984517704785042	0.0857693175295554	-0.013363113739977	0.1401247830335005	320	238	44	38	0.3058568329718004	1120323418.572688	True	metabolite	0.160265290654712	-0.04167301255499631	-0.07718761956730791	0.012682452948948805
metabolite__L_saccharopine_E2	metabolite	0.5318431938738678	0.5698629926968724	0.1816319775081592	0.0334689163819391	0.0280680700204779	-0.0408922342692292	-0.0384903192646237	320	238	44	38	0.3058568329718004	16963814374568.965	True	metabolite	0.3502112163657086	0.0719592356465628	-0.03801979882300455	0.005400846361461199
agri_aa_oil__AA_Arg	agri_aa_oil	0.5240259833953493	0.4269326650398309	0.4875334998182241	0.2721532252322411	0.1073402614937786	-0.0035289813788612	0.2344435494791878	412	289	60	63	0.106290672451193	1.2524811226224948	True	amino_acid	0.036492483577125256	0.03770967575305331	0.09709331835551843	0.16481296373846252
agri_aa_oil__Oil_C22_0P	agri_aa_oil	0.5167613170368714	0.5314115989547393	0.2054986692385177	0.2478437325252661	0.2769158447293993	-0.0010437723433589	0.0146098419919959	440	306	67	67	0.0455531453362255	0.0023153720210359	True	oil	0.3112626477983538	0.2332338905332702	-0.01465028191786788	-0.029072112204133194
metabolite__Feruloyltryptamine_E2	metabolite	0.5156088361974572	0.4572333599049186	0.3744145890475285	0.2287963030947902	0.1525166485655326	-0.0103226402302516	0.1305042453490014	320	238	44	38	0.3058568329718004	636028870468240.5	True	metabolite	0.14119424714992873	0.09829205774578881	0.05837547629253864	0.07627965452925761
agri_aa_oil__Oil_C20_0P	agri_aa_oil	0.5144158262615192	0.5605030570491426	0.2435924192015761	0.2266423665363039	0.3034402916179541	-0.0622972585701053	-0.0276259664328406	440	306	67	67	0.0455531453362255	0.0093318739626386	True	oil	0.27082340705994307	0.25426833296914453	-0.046087230787623445	-0.0767979250816502
metabolite__L_Arginine_E1	metabolite	0.5139110701032815	0.5015886445727835	0.3219489557612397	0.1860223343456196	0.1725202636931538	-0.0095167268648894	-0.0268015059709492	320	238	44	38	0.3058568329718004	48076439106583.07	True	metabolite	0.1919621143420418	0.2128238403165688	0.012322425530498005	0.013502070652465809
agri_aa_oil__Oil_C18_3	agri_aa_oil	0.5114993236534248	0.5406229121681004	0.077503002468037	0.2023857799568958	0.210125230835654	-0.0150316607488194	-0.0138878777270661	440	306	67	67	0.0455531453362255	8.94600860942383e-05	True	oil	0.4339963211853878	0.2162736576839619	-0.02912358851467567	-0.007739450878758186
metabolite__Serotonin_E2	metabolite	0.5104726302955711	0.4785478532511582	0.3837465481343822	0.1379401244637356	0.1263944858572968	-0.008532472688264	0.1123267178363222	320	238	44	38	0.3058568329718004	417880187802.116	True	metabolite	0.1267260821611889	0.025613406627413404	0.03192477704441293	0.011545638606438813
metabolite__N_Coumaroyltryptamine_E2	metabolite	0.5002835465008953	0.4867124607608369	0.3750498050132171	0.1243929867588481	0.0561005803770892	-0.0018840659653907	0.1368310979019551	320	238	44	38	0.3058568329718004	401477749823279.6	True	metabolite	0.12523374148767824	-0.012438111143107	0.013571085740058442	0.0682924063817589
metabolite__L_Phenylalanine_E1	metabolite	0.4967203951388808	0.4726136645321033	0.3463734726906747	0.1081611048751473	0.0732254733459968	-0.0038243525722403	0.1097839890820395	320	238	44	38	0.3058568329718004	838861055445728.8	True	metabolite	0.15034692244820608	-0.0016228842068922028	0.024106730606777482	0.034935631529150496
metabolite__Malvidin_3_O_hexoside_E2	metabolite	0.4920061121429363	0.4592909000126554	0.4380909828479118	0.2048860357874237	0.1614960987602198	-0.0814364936530851	0.1314312262737341	320	238	44	38	0.3058568329718004	14386838196.175549	True	metabolite	0.05391512929502451	0.0734548095136896	0.032715212130280946	0.043389937027203895
metabolite__L_Isoleucine_E1	metabolite	0.4879533947471341	0.4542563473913791	0.4267048389680054	0.2257088324357629	0.1915568341744729	-0.001632904234909	0.1739343304770249	320	238	44	38	0.3058568329718004	4523927281259.796	True	metabolite	0.061248555779128744	0.051774501958738006	0.033697047355755017	0.034151998261290006
agri_aa_oil__Earleaflength	agri_aa_oil	0.4862833154774632	0.4587215473320845	0.4429897373180186	0.2335130709253488	0.1387333227435706	-0.0012868725320944	0.1932097905811629	459	321	68	70	0.0043383947939262	50.59300347269648	True	agronomic	0.04329357815944457	0.0403032803441859	0.027561768145378696	0.0947797481817782
metabolite__Glutamine_E1	metabolite	0.4858622698133606	0.5482604033262959	0.163529728537003	0.1031498434101022	0.2227568127144273	-0.0004133159705852	0.0050381287191548	320	238	44	38	0.3058568329718004	19887572194112.46	True	metabolite	0.3223325412763576	0.0981117146909474	-0.06239813351293527	-0.1196069693043251
metabolite__L_Aspartic_acid_E2	metabolite	0.4845652427322039	0.4859530805603969	0.2866151902893544	0.2216529644450899	0.2156334068231311	-0.015549425826566	0.0654122759403794	320	238	44	38	0.3058568329718004	51230637582288.4	True	metabolite	0.19795005244284952	0.15624068850471048	-0.0013878378281929615	0.006019557621958799
metabolite__L_Leucine_E1	metabolite	0.4836495578944572	0.4609854185306575	0.4398794584107195	0.2277269842994783	0.2063746392118702	-0.0068148858598648	0.1865256008291105	320	238	44	38	0.3058568329718004	51342964450431.03	True	metabolite	0.04377009948373767	0.04120138347036781	0.022664139363799685	0.02135234508760811
agri_aa_oil__Tasselmainaxislength	agri_aa_oil	0.4826336283426001	0.492723900098553	0.2872492841430748	0.2265863009459273	0.2286202088277303	-0.0018030699881772	0.0803680337203305	459	321	68	70	0.0043383947939262	11.03070153448124	True	agronomic	0.19538434419952527	0.1462182672255968	-0.010090271755952895	-0.002033907881802993
agri_aa_oil__Plantheight	agri_aa_oil	0.4809312713878985	0.4764639764030418	0.4048873310431766	0.1819935348619078	0.1817533898512082	-0.0011567420769205	0.1506213564931066	459	321	68	70	0.0043383947939262	449.4803020746264	True	agronomic	0.0760439403447219	0.03137217836880121	0.004467294984856707	0.00024014501069960503
agri_aa_oil__Kernernumberperrow	agri_aa_oil	0.4808824999409242	0.4499026663468165	0.3900618863152651	0.205124138271559	0.1690695090024244	-0.0153277672881584	0.1059975840492883	459	321	68	70	0.0043383947939262	6.085513065952879	True	agronomic	0.09082061362565907	0.09912655422227071	0.030979833594107664	0.03605462926913461
agri_aa_oil__100grainweight	agri_aa_oil	0.4797651679832397	0.4584224869042407	0.3005660828826259	0.174802863840612	0.1590109548620336	-0.0013137934527023	0.0444065278506273	456	320	66	70	0.0108459869848156	6.417899206559154	True	agronomic	0.17919908510061383	0.1303963359899847	0.021342681078999004	0.015791908978578406
agri_aa_oil__Earheight	agri_aa_oil	0.4768421244547166	0.4794821214348642	0.2016934290426019	0.1943123000386365	0.1880771128151515	-0.0495447674853863	-0.0273779773263749	459	321	68	70	0.0043383947939262	180.07002262230978	True	agronomic	0.2751486954121147	0.2216902773650114	-0.0026399969801476075	0.006235187223485011
