trait	median_pearson_gain_sparse_vs_base	median_r2_gain_sparse_vs_base	median_pearson_gain_sparse_vs_pca	median_r2_gain_sparse_vs_pca	sparse_better_than_base_pearson_seeds	sparse_better_than_pca_pearson_seeds
agri_aa_oil__Oil_C180_C200	0.0731921509698687	0.030691663970865757	-0.02972775439935582	-0.06241967293934181	3	1
agri_aa_oil__Kernernumberperrow	0.030465004205910473	-0.03685309768694989	-0.05012471578609451	-0.08788430662305236	3	0
metabolite__Pro_Leu_E1	0.000844029871342522	-0.04460852555417194	0.0026112276586273686	-0.08638925281096821	3	3
agri_aa_oil__Oil_C200_C220	-0.01776738073019235	-0.015702737074545836	-0.12192280426048863	-0.08634758586578373	1	0
agri_aa_oil__Oil_C20_1P	-0.02575131051529489	-0.021317130227694547	-0.005721387911731768	-0.043228388693395625	2	2
agri_aa_oil__Plantheight	-0.03789681849086568	-0.02008424155871613	-0.10998022628628684	-0.10951470012362141	1	0
agri_aa_oil__Oil_C18_0	-0.08113941018397408	-0.07316466237832786	-0.1480433547229439	-0.13159106871714354	0	0
agri_aa_oil__Oil_C16_1	-0.09414049494167809	-0.15750485096966216	-0.10813083672241852	-0.1710995631283848	1	0
agri_aa_oil__100grainweight	-0.09877562803237228	-0.09021215762915191	-0.1614755452947903	-0.15549788729352831	1	0
metabolite__Norcinnamolaurine_E1	-0.11900313134815227	-0.21359998596637864	-0.176049050285004	-0.24733941611609955	1	1
