trait	trait_group	pearson__genotype_pca_population_ridge	pearson__genotype_pca_ridge	pearson__population_ridge	r2__genotype_pca_population_ridge	r2__genotype_pca_ridge	r2__mean_baseline	r2__population_ridge
agri_aa_oil__Oil_OIL	agri_aa_oil	0.924294437607209	0.9248291008095239	0.5086323682328454	0.8271520389356026	0.8300541866240254	-0.013843160147368527	0.24408113562872213
agri_aa_oil__Oil_C18_2	agri_aa_oil	0.8945415668877361	0.8958308671670855	0.5997692791856578	0.7932323891817094	0.7944477584846058	-0.012579845894435282	0.3251168608758339
agri_aa_oil__Oil_C18_1	agri_aa_oil	0.877589573446752	0.8867467994809028	0.3860216115471281	0.767657477681241	0.7551772964010457	-0.012259873438681845	0.1314076453245242
agri_aa_oil__Oil_C20_0	agri_aa_oil	0.8486652074153735	0.8540986154200004	0.5101887533530455	0.6952679368318753	0.7106384597448796	-0.0578079622223695	0.21869837074690623
agri_aa_oil__Oil_C20_1	agri_aa_oil	0.8375809682947283	0.8422448660096392	0.4867688233052183	0.7007746800096599	0.7092927018905213	-0.002122608409616644	0.22795247004804398
agri_aa_oil__Oil_C16_0	agri_aa_oil	0.8261322589379528	0.8299767321728122	0.4319368706569112	0.6777891208446669	0.6857995291855487	-0.004376579431851324	0.1819751710877322
agri_aa_oil__Oil_C18_0	agri_aa_oil	0.8126235791042038	0.8167272608396187	0.5301340062395081	0.5778280569391898	0.6003093664665243	-0.07243813511310249	0.22772665334016617
agri_aa_oil__kernellength	agri_aa_oil	0.7498388718773434	0.7341466871210814	0.619107056746317	0.509565376145118	0.5366209765392598	-0.000564093103845309	0.37938646269309995
agri_aa_oil__Oil_C16_1	agri_aa_oil	0.7445930472317249	0.7472883307339214	0.2372326299370003	0.5257291686345023	0.5364480256381852	-0.008819341507908973	0.030288404262399315
agri_aa_oil__Oil_C200_C220	agri_aa_oil	0.7434266133386487	0.7411894958921033	0.4469051750004338	0.5284105611142388	0.5240204648533051	-0.0281299682293632	0.17228854632052626
agri_aa_oil__Oil_C182_C183	agri_aa_oil	0.7429331431042852	0.7444999936664582	0.518206776505352	0.5205242172053608	0.5231276009045629	-0.029817460291366116	0.23057787766587912
agri_aa_oil__Oil_C18_3P	agri_aa_oil	0.6941523915257505	0.6970528973809287	0.2775751658135568	0.45195652970540623	0.45550010912404637	-0.06200512082250653	0.017435586621806665
metabolite__L_Threonine_E1	metabolite	0.6913502480326984	0.6643737581764417	0.3011938315976971	0.26282182003250476	0.22081274279881746	-0.2526402888067385	-0.1296046948994951
metabolite__L_Proline_E1	metabolite	0.6600080883624035	0.6043396113887464	0.5096217613331019	0.27057366646147496	0.2157108922502563	-0.0024933272436256093	0.11191063859296624
metabolite__Trigonelline_E1	metabolite	0.6577372712142149	0.6546020540227999	0.3948568898101983	0.2578615352120771	0.24543035756210807	-0.01494799751174547	0.045673026374907555
agri_aa_oil__Earlength	agri_aa_oil	0.6424643747940497	0.6365485358678276	0.27394984715383003	0.28738577513421903	0.2775767629243314	-0.0037074263540477492	-0.0013789618856436814
metabolite__Benzamidine_E1	metabolite	0.63721070129985	0.6432371508364665	0.38511673102464367	0.33815485094271003	0.31718623494537945	-0.002915813602847761	0.14457658000405194
agri_aa_oil__Oil_C16_0P	agri_aa_oil	0.6245024869813459	0.6046106505632948	0.4555332208756446	0.3476119471961622	0.3580257632294218	-0.03246552779986267	0.15883438397129812
agri_aa_oil__Oil_C22_0	agri_aa_oil	0.6216095504028424	0.6239729034467698	0.4196877461762517	0.3651089741885407	0.37476669157181874	-0.043969227149174506	0.14467847187548277
metabolite__Glu_Glu_E2	metabolite	0.6214574875901805	0.6769872517148832	0.06819211425717672	0.009843829619296973	0.009190265630691696	-0.012436755529223742	-0.01169220229421275
agri_aa_oil__Oil_SFA_USFA	agri_aa_oil	0.6072951694436046	0.5909627634581115	0.4544923050671793	0.33787489913440893	0.28695930569210404	-0.008565975877369292	0.18659459074390838
metabolite__Np_Npp_Feruloyl_caffeoyl_spermidine_derivative_E2	metabolite	0.6006843524234436	0.5599449062819731	0.5681044047898672	0.15627078663503202	0.023973322097081362	-0.0015035985933793405	0.28245826094766036
metabolite__5_Hydroxyindoleacetic_acid_E1	metabolite	0.600658397454373	0.5961297351944421	0.29755823821327354	0.2884331445344499	0.2674064871046681	-0.04143821706951645	-0.04151248586038481
metabolite__DIMBOA_glucoside_E1	metabolite	0.5994274568125647	0.6282950541947273	0.15799283145951332	0.13918877096603455	0.12539382348474315	-0.0007437606230942251	0.024278043135029903
agri_aa_oil__Oil_C18_1P	agri_aa_oil	0.5970206817229022	0.5989336690753077	0.20823951778373143	0.3493391999183041	0.3532172045045	-0.007574671927710996	0.013234235946928963
agri_aa_oil__Oil_C18_2P	agri_aa_oil	0.5958478952167248	0.6191740930805371	0.3322554730858176	0.3265250109272212	0.3782228420993937	-0.00220745658750765	0.10308135623741055
agri_aa_oil__Silkingtime	agri_aa_oil	0.5951184091899957	0.6570946850923038	0.3988491294022806	0.3519360141272877	0.428450895040803	-0.00022316300089197938	0.10418849644864925
metabolite__Pyroglutamic_acid_E1	metabolite	0.5913646073516078	0.5609334650444179	0.38663724629334734	0.08334850398348048	0.2378962814134904	-0.0275947657459521	-0.00043802197163755885
agri_aa_oil__Pollenshed	agri_aa_oil	0.5869225650721772	0.6406528970042389	0.4419947212490146	0.3443519376558154	0.40540496443414986	-0.0009277514315018109	0.14257276841404998
agri_aa_oil__Oil_C24_0P	agri_aa_oil	0.5789056445440119	0.5867638498961353	0.21356440234880444	0.30184456523344105	0.31046614290168095	-0.020665449293813642	-0.024122985999231128
metabolite__Coumaroylserotonin_E1	metabolite	0.563753439335103	0.5977726638800708	0.1726883172462642	0.3096967509061118	0.3569800904090241	-0.010672805507652816	-0.07552932815073143
metabolite__N_caffeoyl_O_hexoside_spermidine_E1	metabolite	0.5600398465032688	0.5778669336425432	0.4263492527748049	0.19158021475149423	0.17341443001191703	-0.07305980289468783	0.10829231288513785
metabolite__N1_N10_Dicoumaroylspermidine_E1	metabolite	0.5594355263034527	0.46334900607773516	0.46843795038773034	-0.05088602991687208	-0.07159217903784021	-0.11903911716449067	-0.11320499910314008
agri_aa_oil__Headingdate	agri_aa_oil	0.5582158089612339	0.5842752882297859	0.471041315223551	0.3066103023801259	0.3261432423288859	-0.0036533865870773674	0.17743058290588798
metabolite__Tryptamine_E1	metabolite	0.5534237861980783	0.6557713333979089	0.07330757333859492	0.10331678989451265	0.10360140945037954	-0.0061009131351703605	-0.010998941512593507
