trait	trait_group	total_non_missing	train_non_missing	val_non_missing	test_non_missing	missing_rate	variance	used_for_baseline
metabolite__L_Tyrosine_E1	metabolite	320	238	44	38	0.30585683297180044	1120323418.572688	True
metabolite__Vanillin_E1	metabolite	320	238	44	38	0.30585683297180044	99704560256.66144	True
metabolite__N_Acetyl_L_glutamic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	3137408021.061912	True
metabolite__Lyratyl_acetate_E1	metabolite	320	238	44	38	0.30585683297180044	25628585328.526646	True
metabolite__Ferulic_acid_derivative_E1	metabolite	320	238	44	38	0.30585683297180044	117903989811.91223	True
metabolite__Pyridoxine_E1	metabolite	320	238	44	38	0.30585683297180044	3456541128.804859	True
metabolite__LPC1_acyl_16_1_1_E1	metabolite	320	238	44	38	0.30585683297180044	541858190680.83777	True
metabolite__Glutamine_E1	metabolite	320	238	44	38	0.30585683297180044	19887572194112.46	True
metabolite__N1_N10_Dicoumaroylspermidine_E1	metabolite	320	238	44	38	0.30585683297180044	3558886523158.307	True
metabolite__N_Coumaroylspermidine_E1	metabolite	320	238	44	38	0.30585683297180044	5248233822.8751955	True
metabolite__L_Lysine_E1	metabolite	320	238	44	38	0.30585683297180044	30650153795454.547	True
metabolite__LPC1_acyl_16_0_1_E1	metabolite	320	238	44	38	0.30585683297180044	20348877779153.605	True
metabolite__Adenosine_E1	metabolite	320	238	44	38	0.30585683297180044	127441830403605.02	True
metabolite__L_Glutamic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	13770745940438.871	True
metabolite__Abscisic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	19790152004.604233	True
metabolite__L_Phenylalanine_E1	metabolite	320	238	44	38	0.30585683297180044	838861055445728.8	True
metabolite__O_Acetyl_L_serine_E1	metabolite	320	238	44	38	0.30585683297180044	16127711771158.307	True
metabolite__LPC1_acyl_18_2_2_E1	metabolite	320	238	44	38	0.30585683297180044	4211045994318.1816	True
metabolite__Np_Npp_Coumaroyl_Feruloylspermidine_E1	metabolite	320	238	44	38	0.30585683297180044	8490501043103.448	True
metabolite__Choline_E1	metabolite	320	238	44	38	0.30585683297180044	48260967770376.17	True
metabolite__L_Serine_E1	metabolite	320	238	44	38	0.30585683297180044	65813718642.24138	True
metabolite__L_Valine_E1	metabolite	320	238	44	38	0.30585683297180044	27544736892633.227	True
metabolite__L_Threonine_E1	metabolite	320	238	44	38	0.30585683297180044	167190521698.66772	True
metabolite__Nicotinic_Acid_E1	metabolite	320	238	44	38	0.30585683297180044	16558337876.077587	True
metabolite__Pyroglutamic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	8429742793.005486	True
metabolite__L_Pipecolate_E1	metabolite	320	238	44	38	0.30585683297180044	26143572091496.863	True
metabolite__L_Aspartic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	4765923996865.204	True
metabolite__Phenylpyruvic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	8688340800.842476	True
metabolite__2_6_diformyl_4_methylphenol_E1	metabolite	320	238	44	38	0.30585683297180044	170473616575.2351	True
metabolite__4_Coumaric_acid_E1	metabolite	320	238	44	38	0.30585683297180044	70187796866.6732	True
metabolite__L_Arginine_E1	metabolite	320	238	44	38	0.30585683297180044	48076439106583.07	True
metabolite__5_Hydroxyindoleacetic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	19755631930054.86	True
metabolite__3_2_Hydroxyethyl_4_methyl_1_2_3_4_pentanetetrol_E1	metabolite	320	238	44	38	0.30585683297180044	55969424388.63376	True
metabolite__D_Pantothenic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	199380719147.33542	True
metabolite__Pro_Leu_E1	metabolite	320	238	44	38	0.30585683297180044	218390052507.837	True
metabolite__N_3_Indolylacetyl_L_alanine_E1	metabolite	320	238	44	38	0.30585683297180044	9485857853.031937	True
metabolite__N_Feruloylputrescine_E1	metabolite	320	238	44	38	0.30585683297180044	497096822473981.2	True
metabolite__12_Hydroxy_6_epi_albrassitriol_E1	metabolite	320	238	44	38	0.30585683297180044	38222058342.378525	True
metabolite__Naringenin_derivative_E1	metabolite	320	238	44	38	0.30585683297180044	35438192504.447296	True
metabolite__L_saccharopine_E1	metabolite	320	238	44	38	0.30585683297180044	384146596536.4934	True
metabolite__Linolenic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	847921072.1003134	True
metabolite__Linoleic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	54109728595.21944	True
metabolite__Norcinnamolaurine_E1	metabolite	320	238	44	38	0.30585683297180044	63630658934059.16	True
metabolite__N_coumaroyl_O_hexoside_spermidine_E1	metabolite	320	238	44	38	0.30585683297180044	536203270.3673589	True
metabolite__5_Methylthioadenosine_E1	metabolite	320	238	44	38	0.30585683297180044	10492117661745.686	True
metabolite__N_Coumaroyltryptamine_E1	metabolite	320	238	44	38	0.30585683297180044	165890050281982.44	True
metabolite__Coumaroylserotonin_E1	metabolite	320	238	44	38	0.30585683297180044	1139201157250.768	True
metabolite__Feruloyltryptamine_E1	metabolite	320	238	44	38	0.30585683297180044	367226781932535.7	True
metabolite__Adenylic_acid_E1	metabolite	320	238	44	38	0.30585683297180044	593937980838.558	True
