trait	nearest_gene_id	gene_relation	variants	max_selected_seeds	mean_abs_train_correlation	min_distance_to_gene_bp
agri_aa_oil__Headingdate	Zm00001d012865	gene_body	3	5	0.3689878011743228	0
agri_aa_oil__Headingdate	Zm00001d009873	gene_body	2	5	0.39892915785312655	0
agri_aa_oil__Headingdate	Zm00001d041714	gene_body	2	5	0.37312735319137574	0
agri_aa_oil__Headingdate	Zm00001d048603	gene_body	1	5	0.4249285340309143	0
agri_aa_oil__Headingdate	Zm00001d009872	cis_window	1	5	0.4023059010505676	2628
agri_aa_oil__Headingdate	Zm00001d009860	promoter	1	5	0.39814493656158445	0
agri_aa_oil__Headingdate	Zm00001d011774	gene_body	1	5	0.39315253496170044	0
agri_aa_oil__Headingdate	Zm00001d009859	gene_body	1	5	0.38611279129981996	0
agri_aa_oil__Headingdate	Zm00001d009871	nearest	1	5	0.38498122096061704	60404
agri_aa_oil__Headingdate	Zm00001d025103	gene_body	1	5	0.3827701807022095	0
agri_aa_oil__Headingdate	Zm00001d044119	gene_body	1	5	0.3764179766178131	0
agri_aa_oil__Headingdate	Zm00001d024211	nearest	1	5	0.3716745674610138	16642
agri_aa_oil__Headingdate	Zm00001d048991	nearest	1	5	0.37111158967018126	19937
agri_aa_oil__Headingdate	Zm00001d009824	gene_body	1	5	0.36077565550804136	0
agri_aa_oil__Headingdate	Zm00001d009902	nearest	1	5	0.36016408205032346	58645
agri_aa_oil__Headingdate	Zm00001d009513	gene_body	1	5	0.3594431161880493	0
agri_aa_oil__Headingdate	Zm00001d044291	gene_body	1	5	0.3583337366580963	0
agri_aa_oil__Headingdate	Zm00001d009848	gene_body	1	5	0.3574578523635864	0
agri_aa_oil__Headingdate	Zm00001d049201	nearest	1	5	0.35711658000946045	40097
agri_aa_oil__Headingdate	Zm00001d053273	gene_body	1	5	0.3569995522499084	0
agri_aa_oil__Headingdate	Zm00001d035012	nearest	1	5	0.35593971610069275	11991
agri_aa_oil__Headingdate	Zm00001d007514	promoter	1	5	0.35517935156822206	0
agri_aa_oil__Headingdate	Zm00001d017834	gene_body	1	5	0.35505311489105223	0
agri_aa_oil__Headingdate	Zm00001d043743	cis_window	1	5	0.3536055564880371	1928
agri_aa_oil__Headingdate	Zm00001d045463	gene_body	1	5	0.3515243768692017	0
agri_aa_oil__Headingdate	Zm00001d002440	gene_body	1	5	0.34969900250434877	0
agri_aa_oil__Headingdate	Zm00001d009824	promoter	1	5	0.3493606448173523	0
agri_aa_oil__Headingdate	Zm00001d029095	gene_body	1	5	0.3435490071773529	0
agri_aa_oil__Headingdate	Zm00001d024910	cis_window	1	4	0.3848457485437393	435
agri_aa_oil__Headingdate	Zm00001d026585	gene_body	1	4	0.38335735350847244	0
agri_aa_oil__Headingdate	Zm00001d009870	nearest	1	4	0.3819318935275078	48710
agri_aa_oil__Headingdate	Zm00001d012863	gene_body	1	4	0.37984348088502884	0
agri_aa_oil__Headingdate	Zm00001d044224	gene_body	1	4	0.377098985016346	0
agri_aa_oil__Headingdate	Zm00001d045352	gene_body	1	4	0.3766186609864235	0
agri_aa_oil__Headingdate	Zm00001d048606	gene_body	1	4	0.37161633372306824	0
agri_aa_oil__Headingdate	Zm00001d012049	cis_window	1	4	0.36841680109500885	317
agri_aa_oil__Headingdate	Zm00001d009727	gene_body	1	4	0.36813584715127945	0
agri_aa_oil__Headingdate	Zm00001d011134	cis_window	1	4	0.36616290360689163	5
agri_aa_oil__Headingdate	Zm00001d004164	cis_window	1	4	0.36572933942079544	2778
agri_aa_oil__Headingdate	Zm00001d029218	gene_body	1	4	0.3653450906276703	0
agri_aa_oil__Headingdate	Zm00001d053382	gene_body	1	4	0.3635692819952965	0
agri_aa_oil__Headingdate	Zm00001d029231	cis_window	1	4	0.3631609082221985	855
agri_aa_oil__Headingdate	Zm00001d009090	nearest	1	4	0.3614770248532295	18678
agri_aa_oil__Headingdate	Zm00001d001932	gene_body	1	4	0.3603499084711075	0
agri_aa_oil__Headingdate	Zm00001d053548	cis_window	1	4	0.3591482862830162	368
agri_aa_oil__Headingdate	Zm00001d039400	gene_body	1	4	0.35695650428533554	0
agri_aa_oil__Oil_C16_0	Zm00001d013984	gene_body	4	5	0.522081871330738	0
agri_aa_oil__Oil_C16_0	Zm00001d036982	gene_body	4	5	0.5112126365303993	0
agri_aa_oil__Oil_C16_0	Zm00001d013983	gene_body	3	5	0.5167930801709493	0
agri_aa_oil__Oil_C16_0	Zm00001d009150	gene_body	2	5	0.539669930934906	0
agri_aa_oil__Oil_C16_0	Zm00001d036981	gene_body	2	5	0.503396275639534	0
agri_aa_oil__Oil_C16_0	Zm00001d013861	gene_body	2	5	0.4751002311706543	0
agri_aa_oil__Oil_C16_0	Zm00001d036959	gene_body	2	5	0.4618163675069809	0
agri_aa_oil__Oil_C16_0	Zm00001d049442	cis_window	1	5	0.5696644067764283	6677
agri_aa_oil__Oil_C16_0	Zm00001d049442	gene_body	1	5	0.55901198387146	0
agri_aa_oil__Oil_C16_0	Zm00001d013849	cis_window	1	5	0.5574217319488526	5032
agri_aa_oil__Oil_C16_0	Zm00001d009147	gene_body	1	5	0.5422341823577881	0
agri_aa_oil__Oil_C16_0	Zm00001d009150	promoter	1	5	0.5399124026298523	0
agri_aa_oil__Oil_C16_0	Zm00001d049511	gene_body	1	5	0.5362880766391754	0
agri_aa_oil__Oil_C16_0	Zm00001d009152	cis_window	1	5	0.5325701653957366	212
agri_aa_oil__Oil_C16_0	Zm00001d021162	gene_body	1	5	0.5254899859428406	0
agri_aa_oil__Oil_C16_0	Zm00001d013603	gene_body	1	5	0.5182966351509094	0
agri_aa_oil__Oil_C16_0	Zm00001d036981	cis_window	1	5	0.5177740454673767	247
agri_aa_oil__Oil_C16_0	Zm00001d013595	gene_body	1	5	0.5072582125663757	0
agri_aa_oil__Oil_C16_0	Zm00001d052227	cis_window	1	5	0.4996708929538727	6066
agri_aa_oil__Oil_C16_0	Zm00001d036981	promoter	1	5	0.4982284426689148	0
agri_aa_oil__Oil_C16_0	Zm00001d036982	cis_window	1	5	0.4899980783462524	10
agri_aa_oil__Oil_C16_0	Zm00001d013767	gene_body	1	5	0.4877301037311554	0
agri_aa_oil__Oil_C16_0	Zm00001d005018	gene_body	1	5	0.48353445529937744	0
agri_aa_oil__Oil_C16_0	Zm00001d021147	gene_body	1	5	0.4787572920322418	0
agri_aa_oil__Oil_C16_0	Zm00001d031002	gene_body	1	5	0.47388027906417846	0
agri_aa_oil__Oil_C16_0	Zm00001d032887	gene_body	1	5	0.4733812987804413	0
agri_aa_oil__Oil_C16_0	Zm00001d013983	nearest	1	5	0.47276546359062194	19540
agri_aa_oil__Oil_C16_0	Zm00001d008883	gene_body	1	5	0.4676233172416687	0
agri_aa_oil__Oil_C16_0	Zm00001d013765	cis_window	1	5	0.4659965395927429	1743
agri_aa_oil__Oil_C16_0	Zm00001d025421	cis_window	1	5	0.46527026891708373	1773
agri_aa_oil__Oil_C16_0	Zm00001d023703	promoter	1	5	0.46191261410713197	0
agri_aa_oil__Oil_C16_0	Zm00001d049986	nearest	1	5	0.4616112172603607	125662
agri_aa_oil__Oil_C16_0	Zm00001d049987	cis_window	1	5	0.4609390437602997	3773
agri_aa_oil__Oil_C16_0	Zm00001d024995	promoter	1	5	0.4592093646526337	0
agri_aa_oil__Oil_C16_0	Zm00001d031518	gene_body	1	5	0.45744574069976807	0
agri_aa_oil__Oil_C16_0	Zm00001d049987	gene_body	1	5	0.4568066895008087	0
agri_aa_oil__Oil_C16_0	Zm00001d013868	gene_body	1	5	0.45656639337539673	0
agri_aa_oil__Oil_C16_0	Zm00001d041768	gene_body	1	5	0.45647703409194945	0
agri_aa_oil__Oil_C16_1	Zm00001d036982	gene_body	4	5	0.37551152557134626	0
agri_aa_oil__Oil_C16_1	Zm00001d013868	gene_body	3	5	0.40139333208401995	0
agri_aa_oil__Oil_C16_1	Zm00001d031002	gene_body	3	5	0.38021320104599	0
agri_aa_oil__Oil_C16_1	Zm00001d009150	gene_body	2	5	0.44510602951049805	0
agri_aa_oil__Oil_C16_1	Zm00001d049987	gene_body	2	5	0.397599983215332	0
agri_aa_oil__Oil_C16_1	Zm00001d013971	cis_window	2	5	0.37082997262477874	1561
agri_aa_oil__Oil_C16_1	Zm00001d009150	promoter	1	5	0.4492408275604248	0
agri_aa_oil__Oil_C16_1	Zm00001d009147	gene_body	1	5	0.4464358687400818	0
agri_aa_oil__Oil_C16_1	Zm00001d009152	cis_window	1	5	0.4276816606521606	212
agri_aa_oil__Oil_C16_1	Zm00001d021490	gene_body	1	5	0.40964502692222593	0
agri_aa_oil__Oil_C16_1	Zm00001d049511	gene_body	1	5	0.4044493675231934	0
agri_aa_oil__Oil_C16_1	Zm00001d049987	cis_window	1	5	0.4040795385837555	3773
agri_aa_oil__Oil_C16_1	Zm00001d049442	gene_body	1	5	0.39701202511787415	0
agri_aa_oil__Oil_C16_1	Zm00001d031005	gene_body	1	5	0.3959502696990967	0
agri_aa_oil__Oil_C16_1	Zm00001d036981	cis_window	1	5	0.3910664916038513	247
agri_aa_oil__Oil_C16_1	Zm00001d030130	promoter	1	5	0.3905572235584259	0
agri_aa_oil__Oil_C16_1	Zm00001d013849	cis_window	1	5	0.39023923873901367	5032
agri_aa_oil__Oil_C16_1	Zm00001d049442	cis_window	1	5	0.3880006670951843	6677
agri_aa_oil__Oil_C16_1	Zm00001d021492	cis_window	1	5	0.3854754090309143	5774
agri_aa_oil__Oil_C16_1	Zm00001d049986	nearest	1	5	0.3852798581123352	125662
agri_aa_oil__Oil_C16_1	Zm00001d049987	nearest	1	5	0.3840292513370514	46688
agri_aa_oil__Oil_C16_1	Zm00001d023703	promoter	1	5	0.38302860260009763	0
agri_aa_oil__Oil_C16_1	Zm00001d033092	promoter	1	5	0.38283094167709353	0
agri_aa_oil__Oil_C16_1	Zm00001d013595	gene_body	1	5	0.38157470226287843	0
agri_aa_oil__Oil_C16_1	Zm00001d013973	nearest	1	5	0.3795051336288452	49730
agri_aa_oil__Oil_C16_1	Zm00001d005018	gene_body	1	5	0.37835449576377866	0
agri_aa_oil__Oil_C16_1	Zm00001d013958	cis_window	1	5	0.37798225283622744	360
agri_aa_oil__Oil_C16_1	Zm00001d030123	gene_body	1	5	0.3777958691120148	0
agri_aa_oil__Oil_C16_1	Zm00001d013971	nearest	1	5	0.37638232111930847	40218
agri_aa_oil__Oil_C16_1	Zm00001d009653	nearest	1	5	0.3709560453891754	88055
agri_aa_oil__Oil_C16_1	Zm00001d036982	cis_window	1	5	0.37014164328575133	10
agri_aa_oil__Oil_C16_1	Zm00001d013976	gene_body	1	5	0.36745352745056153	0
agri_aa_oil__Oil_C16_1	Zm00001d036981	gene_body	1	5	0.3674109041690826	0
agri_aa_oil__Oil_C16_1	Zm00001d049956	nearest	1	5	0.36737589836120604	48948
agri_aa_oil__Oil_C16_1	Zm00001d013971	promoter	1	5	0.36591275334358214	0
agri_aa_oil__Oil_C16_1	Zm00001d049956	gene_body	1	5	0.36513216495513917	0
agri_aa_oil__Oil_C16_1	Zm00001d030002	nearest	1	5	0.36384729743003846	10934
agri_aa_oil__Oil_C16_1	Zm00001d009021	gene_body	1	5	0.3631816327571869	0
agri_aa_oil__Oil_C16_1	Zm00001d047102	cis_window	1	5	0.3629917323589325	439
agri_aa_oil__Oil_C16_1	Zm00001d011068	cis_window	1	5	0.36044926643371583	371
agri_aa_oil__Oil_C182_C183	Zm00001d013984	gene_body	4	5	0.4833118453621864	0
agri_aa_oil__Oil_C182_C183	Zm00001d013983	gene_body	3	5	0.47464277148246764	0
agri_aa_oil__Oil_C182_C183	Zm00001d013861	gene_body	3	5	0.45386935671170553	0
agri_aa_oil__Oil_C182_C183	Zm00001d009150	gene_body	2	5	0.5032838612794877	0
agri_aa_oil__Oil_C182_C183	Zm00001d042812	gene_body	2	5	0.47279508113861085	0
agri_aa_oil__Oil_C182_C183	Zm00001d036959	gene_body	2	5	0.4529797106981277	0
agri_aa_oil__Oil_C182_C183	Zm00001d029039	gene_body	2	5	0.44520890712738037	0
agri_aa_oil__Oil_C182_C183	Zm00001d036981	gene_body	2	5	0.4444361954927445	0
agri_aa_oil__Oil_C182_C183	Zm00001d036982	gene_body	2	5	0.4406585156917572	0
agri_aa_oil__Oil_C182_C183	Zm00001d013849	cis_window	1	5	0.5200268507003785	5032
agri_aa_oil__Oil_C182_C183	Zm00001d009152	cis_window	1	5	0.5149539291858674	212
