term	status	context	blocks_submission
causal variant	safe_boundary_context	als are the strongest fatty-acid candidate loci. - Candidate loci are prioritized conservatively and are not claimed as causal variants or validated genes.  ## Abstract  Maize kernel oil content and fatty-acid composition are genetically complex seed-quality traits. Public multi-omics resource	False
causal variant	safe_boundary_context	agnostic appendix. These calibrated association results form the manuscript's primary GWAS layer, but they do not prove causal variants or validated genes.  ### Candidate-locus prioritization highlights chr6 and chr9 fatty-acid intervals  GEMMA lead signals were merged into physical loci, mapp	False
causal variant	safe_boundary_context	hey define the claim boundary: the study prioritizes candidate intervals and reproducible benchmarks; it does not prove causal variants or experimentally validate genes.  For submission, the strongest journal positioning is a methods-aware plant genomics paper: a ZEAMAP oil-trait prediction be	False
causal gene	safe_boundary_context	nt the chr6 signal as the strongest recurrent fatty-acid candidate interval in the current analysis, not as a validated causal gene.  The second key biological interval was R08_Zm00001d045383, centred on chr9.s_20246143 for C16:0 (best P = 7.76e-17). The local interval contains or lies near	False
causal gene	safe_boundary_context	priority C16:0 fatty-acid candidate interval (Katral et al., 2022; Bonaventure et al., 2003), while the lead SNP, exact causal gene and causal allele remain unresolved.  Other recurrent tier-1 loci on chromosomes 1, 4 and 8 showed strong statistical and ridge-attribution support but current	False
validated gene	safe_boundary_context	st fatty-acid candidate loci. - Candidate loci are prioritized conservatively and are not claimed as causal variants or validated genes.  ## Abstract  Maize kernel oil content and fatty-acid composition are genetically complex seed-quality traits. Public multi-omics resources provide an opport	False
validated gene	safe_boundary_context	These calibrated association results form the manuscript's primary GWAS layer, but they do not prove causal variants or validated genes.  ### Candidate-locus prioritization highlights chr6 and chr9 fatty-acid intervals  GEMMA lead signals were merged into physical loci, mapped to B73 RefGen_v4	False
validated causal	safe_boundary_context	o we present the chr6 signal as the strongest recurrent fatty-acid candidate interval in the current analysis, not as a validated causal gene.  The second key biological interval was R08_Zm00001d045383, centred on chr9.s_20246143 for C16:0 (best P = 7.76e-17). The local interval contains or lies	False
causal allele	safe_boundary_context	atty-acid candidate interval (Katral et al., 2022; Bonaventure et al., 2003), while the lead SNP, exact causal gene and causal allele remain unresolved.  Other recurrent tier-1 loci on chromosomes 1, 4 and 8 showed strong statistical and ridge-attribution support but currently carry broader r	False
fine-mapped	safe_boundary_context	y paired and therefore cannot support a strong multi-omics claim in the main model. Third, candidate loci have not been fine-mapped or experimentally validated. Fourth, target-journal reference styling and external gene-name mapping still need a final author-side check before journal submis	False
fine-mapped	safe_boundary_context	 the chr9 C16:0 fatty acyl-ACP thioesterase candidate interval. Both are interpreted as candidate intervals, not causal fine-mapped loci.  ## Table Legends  Table 1. Prioritized regional candidate loci for maize oil traits. Eight top loci selected from GEMMA LMM manuscript candidate loci an	False
experimentally validated	safe_boundary_context	erefore cannot support a strong multi-omics claim in the main model. Third, candidate loci have not been fine-mapped or experimentally validated. Fourth, target-journal reference styling and external gene-name mapping still need a final author-side check before journal submission. These limitations do n	False
