trait	feature	selected_seeds	mean_coefficient	mean_abs_coefficient	context	region_type	gene_id	chrom	start_1based	end_1based	strand	variance_rank_within_combo	variance	missing_fraction_before_impute
agri_aa_oil__100grainweight	methwin__mCHG__promoter__Zm00001d042164	5	0.0418606447550444	0.0418606447550444	mCHG	promoter	Zm00001d042164	3	154317876	154325586	+	243	0.11622117459774017	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d042164	5	0.03279627181868201	0.03279627181868201	mCG	promoter	Zm00001d042164	3	154317876	154325586	+	345	0.14341522753238678	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d020234	5	-0.019040092828241706	0.019040092828241706	mCHH	gene	Zm00001d020234	7	101492829	101504550	-	234	0.006727994419634342	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d007923	4	-0.07661828625279479	0.07661828625279479	mCHH	gene	Zm00001d007923	2	242818296	242819090	-	474	0.002970618661493063	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d046722	4	-0.06121312064318518	0.06121312064318518	mCHG	cis	Zm00001d046722	9	103539957	103559119	+	277	0.13224413990974426	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d008543	4	-0.05447649636839111	0.05447649636839111	mCHH	cis	Zm00001d008543	8	12496738	12498216	-	305	0.027813538908958435	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d040396	4	0.046284896728276716	0.046284896728276716	mCG	cis	Zm00001d040396	3	41248476	41249543	-	159	0.17374025285243988	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d046714	4	-0.03972690358076105	0.03972690358076105	mCG	promoter	Zm00001d046714	9	103118697	103123559	+	440	0.13676884770393372	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d039417	4	0.03638624626498461	0.03638624626498461	mCG	gene	Zm00001d039417	3	3828028	3837246	+	287	0.13961578905582428	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d008878	4	-0.026711420645942403	0.026711420645942403	mCG	promoter	Zm00001d008878	8	23569227	23569865	-	198	0.15549150109291077	0.0
agri_aa_oil__100grainweight	methwin__mCG__gene__Zm00001d020562	4	-0.02610759726455671	0.02610759726455671	mCG	gene	Zm00001d020562	7	122351840	122352624	-	212	0.14671237766742706	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d020562	4	-0.02610638787135896	0.02610638787135896	mCG	promoter	Zm00001d020562	7	122351840	122352624	-	297	0.14671237766742706	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d018731	4	-0.015055160768808942	0.015055160768808942	mCHH	gene	Zm00001d018731	7	3330940	3335717	+	127	0.009950662031769753	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d029104	4	0.013748488137016382	0.013748488137016382	mCHH	cis	Zm00001d029104	1	58176945	58182237	+	216	0.03283044695854187	0.0
agri_aa_oil__100grainweight	methwin__mCHH__cis__Zm00001d029103	4	0.013748356747471135	0.013748356747471135	mCHH	cis	Zm00001d029103	1	58170770	58174845	+	215	0.03283044695854187	0.0
agri_aa_oil__100grainweight	methwin__mCG__promoter__Zm00001d042856	4	-0.013567202861044556	0.013567202861044556	mCG	promoter	Zm00001d042856	3	182225599	182227138	+	154	0.1591719388961792	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d042856	4	-0.013565143151427931	0.013565143151427931	mCG	cis	Zm00001d042856	3	182225599	182227138	+	405	0.1591719388961792	0.0
agri_aa_oil__100grainweight	methwin__mCG__cis__Zm00001d042857	4	-0.013555678267627796	0.013555678267627796	mCG	cis	Zm00001d042857	3	182227464	182227670	-	404	0.1591719388961792	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d010143	3	0.08687108229137243	0.08687108229137243	mCHH	promoter	Zm00001d010143	8	101193687	101196577	+	453	0.01151388417929411	0.0
agri_aa_oil__100grainweight	methwin__mCHH__gene__Zm00001d049980	3	-0.0758618252247203	0.0758618252247203	mCHH	gene	Zm00001d049980	4	56787786	56805442	+	495	0.002598994877189398	0.0
agri_aa_oil__100grainweight	methwin__mCHH__promoter__Zm00001d016311	3	0.07218813036805255	0.07218813036805255	mCHH	promoter	Zm00001d016311	5	156652377	156668073	-	461	0.011376933194696903	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d046460	3	-0.06159885722898683	0.06159885722898683	mCHG	cis	Zm00001d046460	9	90925903	90927321	+	490	0.12510254979133606	0.0
agri_aa_oil__100grainweight	methwin__mCHG__cis__Zm00001d003192	3	0.04809343707206921	0.04809343707206921	mCHG	cis	Zm00001d003192	2	35226569	35229786	-	41	0.15404438972473145	0.0
